Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 1,Question 2,Question 3,Question 4,Question 5,Question 1,Question 2,Question 3,Question 4,Question 5,Question 1,Question 2,Question 3,Question 4,Question 5
2018/05/02 12:57:48 PM GMT+3,12,,,,,,,,,,,,,,,14,,1,18,1
2018/05/02 4:05:23 PM GMT+3,0.23,0.05,0.01,0.45,0.03,0.4,0.5,0.08,0.02,0.02,0.02,0.04,0.5,0.02,0.01,0.02,0.02,0.5,0.3,0.025
2018/05/02 4:05:25 PM GMT+3,0.25,0.1,0.05,0.35,0.03,0.2,0.4,0.08,0.13,0.15,0.2,0.3,0.1,0.05,0.025,0.05,0.05,0.4,0.2,0.15
2018/05/02 4:05:25 PM GMT+3,0.4,0.02,0.03,0.2,0.01,0.35,0.5,0.1,0.1,0.1,0,0,0.01,0.01,0.01,0.05,0.01,0.4,0.18,0.05
2018/05/02 4:05:25 PM GMT+3,1.3,0.2,1.1,4,0.9,0.6,0.1,0.8,1.3,3,1.2,1.3,0.8,0.8,0.1,0.2,0.1,0.4,0.2,0.2
2018/05/02 4:05:25 PM GMT+3,0.5,0,0.2,0.9,0.2,0.4,0.5,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0,0.3,0.1,0.45,0.2,0.2
2018/05/02 4:05:26 PM GMT+3,0.27,0.12,0.01,0.3,0.08,0.18,0.41,0.04,0.2,0.2,0.2,0.35,0.1,0.05,0.03,0.08,0.15,0.4,0.2,0.1
2018/05/02 4:05:27 PM GMT+3,0.25,0.12,0.05,0.33,0.05,0.1,0.43,0.05,0.06,0.05,0,0.1,0.1,0.15,0.02,0.02,0.01,0.41,0.04,0.03
2018/05/02 4:05:27 PM GMT+3,0.37,0.09,0.03,0.43,0.06,0.28,0.5,0.1,0.15,0.1,0.1,0.2,0.1,0.05,0.05,0.05,0.08,0.43,0.18,0.18
2018/05/02 4:05:29 PM GMT+3,0.33,0.1,0.01,0.4,0.05,0.25,0.55,0.15,0.12,0.12,0.01,0.2,0.1,0.1,0.1,0.08,0.02,0.22,0.15,0.1
2018/05/02 4:05:29 PM GMT+3,0.25,0.1,0.05,0.4,0.1,0.25,0.5,0.2,0.1,0.15,0.2,0.3,0.2,0.1,0.1,0.1,0.05,0.45,0.1,0.15
2018/05/02 4:05:29 PM GMT+3,0.4,0.2,0.05,0.3,0.1,0.2,0.5,0.15,0.1,0.18,0.3,0.4,0.1,0.05,0.02,0.1,0.05,0.45,0.15,0.2
2018/05/02 4:05:30 PM GMT+3,0.25,0.08,0.03,0.21,0.03,0.25,0.48,0.11,0.08,0.14,0.1,0.3,0.15,0.2,0.05,0.04,0.02,0.43,0.14,0.22
2018/05/02 4:05:31 PM GMT+3,0.23,0.036,0.02,0.3,0.06,0.2,0.38,0.07,0.13,0.11,0.16,0.2,0.14,0.07,0.1,0.08,0.06,0.41,0.16,0.14
2018/05/02 4:05:31 PM GMT+3,0.27,0.1,0.03,0.35,0.02,0.23,0.42,0.1,0.06,0.15,0.1,0.2,0.1,0.15,0,0.06,0.01,0.43,0.18,0.2
2018/05/02 4:05:32 PM GMT+3,0.25,0.1,0.05,0.4,0.1,0.25,0.48,0.07,0.1,0.15,0.3,0.2,0.1,0.05,0.02,0.08,0.05,0.4,0.1,0.2
2018/05/02 4:05:33 PM GMT+3,0.32,0.11,0.05,0.38,0.03,0.37,0.48,0.13,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.04,0.02,0.48,0.19,0.17
2018/05/02 4:05:35 PM GMT+3,0.58,0.13,0.09,0.6,0.04,0.4,0.5,0.1,0.15,0.14,0.04,0.4,0.4,0.5,0.1,0.2,0.03,0.4,0.25,0.3
2018/05/02 4:05:35 PM GMT+3,0.4,0.1,0.05,0.45,0.01,0.25,0.48,0.9,0.5,0.8,0.05,0.075,0.04,0.02,0.02,0.07,0.02,0.4,0.2,0.12
2018/05/02 4:05:37 PM GMT+3,0.17,0.05,0.001,0.2,0.07,0.34,0.5,0.1,0.1,0.13,0.15,0.1,0.15,0.25,0.001,0.01,0.02,0.42,0.1,0.2
2018/05/02 4:05:46 PM GMT+3,0.5,0.2,0.08,0.4,0.1,0.23,0.48,0.07,0.14,0.18,0.02,0.04,0.06,0.01,0.04,0.03,0.02,0.41,0.2,0.1
2018/05/02 4:05:46 PM GMT+3,0.35,0.15,0.05,0.3,0.1,0.2,0.45,0.15,0.08,0.15,0.4,0.3,0.4,0.4,0.05,0.4,0.2,0.6,0.15,0.15
2018/05/02 4:05:50 PM GMT+3,0.35,0.14,0.06,0.4,0.1,0.25,0.47,0.17,0.15,0.15,0.02,0.4,0.3,0.2,0.1,0.06,0.08,0.45,0.2,0.24
2018/05/02 4:05:51 PM GMT+3,0.33,0.055555556,0,0.416666667,0.05,0.12,0.45,0.12,0.09,0.1,0.5,0.6,0.3,0.4,0.2,0.3,0.05,0.42,0.2,0.16
2018/05/02 4:06:22 PM GMT+3,0.17,0.05,0.001,0.2,0.07,0.34,0.5,0.1,0.1,0.13,0.15,0.1,0.15,0.25,0.001,0.01,0.02,0.42,0.1,0.2