"","town_number","town_h","year","property_crimes","motor_thefts","drugs","assults","sexual_assult","robberies","spousal","town","total","town_type"
"1",472,"<U+05D0><U+05D1><U+05D5> <U+05D2><U+05D5><U+05E9>",2011,52,4,3,57,5,0,11,"ABU GHOSH",7907,"arab"
"2",472,"<U+05D0><U+05D1><U+05D5> <U+05D2><U+05D5><U+05E9>",2012,64,10,3,48,2,0,13,"ABU GHOSH",7907,"arab"
"3",472,"<U+05D0><U+05D1><U+05D5> <U+05D2><U+05D5><U+05E9>",2013,106,16,9,40,5,3,14,"ABU GHOSH",7907,"arab"
"4",473,"<U+05D0><U+05D1><U+05D5> <U+05E1><U+05E0><U+05D0><U+05DF>",2011,89,0,25,47,0,0,22,"ABU SINAN",13318,NA
"5",473,"<U+05D0><U+05D1><U+05D5> <U+05E1><U+05E0><U+05D0><U+05DF>",2012,57,3,25,59,0,2,16,"ABU SINAN",13318,NA
"6",473,"<U+05D0><U+05D1><U+05D5> <U+05E1><U+05E0><U+05D0><U+05DF>",2013,69,3,38,51,1,1,21,"ABU SINAN",13318,NA
"7",652,"<U+05D0><U+05D1><U+05D8><U+05DF>",2011,22,3,2,7,0,1,1,"IBTIN",2788,NA
"8",652,"<U+05D0><U+05D1><U+05D8><U+05DF>",2012,23,3,1,9,0,1,3,"IBTIN",2788,NA
"9",652,"<U+05D0><U+05D1><U+05D8><U+05DF>",2013,21,2,0,15,1,0,5,"IBTIN",2788,NA
"10",182,"<U+05D0><U+05D1><U+05DF> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2011,454,79,7,40,6,0,18,"EVEN YEHUDA",14351,NA
"11",182,"<U+05D0><U+05D1><U+05DF> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2012,263,38,7,50,5,2,31,"EVEN YEHUDA",14351,NA
"12",182,"<U+05D0><U+05D1><U+05DF> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2013,265,26,12,45,9,1,27,"EVEN YEHUDA",14351,NA
"13",1358,"<U+05D0><U+05D5><U+05DD> <U+05D1><U+05D8><U+05D9><U+05DF>",2011,16,1,0,10,1,1,3,NA,3236,NA
"14",1358,"<U+05D0><U+05D5><U+05DD> <U+05D1><U+05D8><U+05D9><U+05DF>",2012,22,2,8,18,0,1,8,NA,3236,NA
"15",1358,"<U+05D0><U+05D5><U+05DD> <U+05D1><U+05D8><U+05D9><U+05DF>",2013,14,0,3,25,0,0,9,NA,3236,NA
"16",2400,"<U+05D0><U+05D5><U+05E8> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2011,592,111,167,218,20,7,186,"OR YEHUDA",37464,"jewish"
"17",2400,"<U+05D0><U+05D5><U+05E8> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2012,584,109,121,199,27,4,154,"OR YEHUDA",37464,"jewish"
"18",2400,"<U+05D0><U+05D5><U+05E8> <U+05D9><U+05D4><U+05D5><U+05D3><U+05D4>",2013,594,114,71,237,17,10,161,"OR YEHUDA",37464,"jewish"
"19",1020,"<U+05D0><U+05D5><U+05E8> <U+05E2><U+05E7><U+05D9><U+05D1><U+05D0>",2011,345,54,141,129,12,2,65,"OR AQIVA",20670,"jewish"
"20",1020,"<U+05D0><U+05D5><U+05E8> <U+05E2><U+05E7><U+05D9><U+05D1><U+05D0>",2012,392,36,114,109,10,4,69,"OR AQIVA",20670,"jewish"
"21",1020,"<U+05D0><U+05D5><U+05E8> <U+05E2><U+05E7><U+05D9><U+05D1><U+05D0>",2013,381,37,95,116,13,3,63,"OR AQIVA",20670,"jewish"
"22",565,"<U+05D0><U+05D6><U+05D5><U+05E8>",2011,224,38,18,41,8,4,34,"AZOR",13235,"jewish"
"23",565,"<U+05D0><U+05D6><U+05D5><U+05E8>",2012,207,47,37,45,4,5,26,"AZOR",13235,"jewish"
"24",565,"<U+05D0><U+05D6><U+05D5><U+05E8>",2013,191,48,21,54,6,3,51,"AZOR",13235,"jewish"
"25",2600,"<U+05D0><U+05D9><U+05DC><U+05EA>",2011,2065,80,543,639,105,54,366,"ELAT",66180,"jewish"
"26",2600,"<U+05D0><U+05D9><U+05DC><U+05EA>",2012,2123,71,396,715,73,33,422,"ELAT",66180,"jewish"
"27",2600,"<U+05D0><U+05D9><U+05DC><U+05EA>",2013,2088,68,544,922,109,48,523,"ELAT",66180,"jewish"
"28",478,"<U+05D0><U+05DB><U+05E1><U+05D0><U+05DC>",2011,87,14,7,46,0,0,18,"IKSAL",14560,"arab"
"29",478,"<U+05D0><U+05DB><U+05E1><U+05D0><U+05DC>",2012,74,11,7,48,2,1,11,"IKSAL",14560,"arab"
"30",478,"<U+05D0><U+05DB><U+05E1><U+05D0><U+05DC>",2013,109,18,7,64,0,8,15,"IKSAL",14560,"arab"
"31",1359,"<U+05D0><U+05DC> <U+05E1><U+05D9><U+05D9><U+05D3>",2011,8,0,1,8,0,0,3,NA,1303,NA
"32",1359,"<U+05D0><U+05DC> <U+05E1><U+05D9><U+05D9><U+05D3>",2012,11,0,2,9,1,0,2,NA,1303,NA
"33",1359,"<U+05D0><U+05DC> <U+05E1><U+05D9><U+05D9><U+05D3>",2013,14,1,0,16,0,0,2,NA,1303,NA
"34",3604,"<U+05D0><U+05DC><U+05D5><U+05DF> <U+05E9><U+05D1><U+05D5><U+05EA>",2011,23,1,7,5,1,0,6,"ALLON SHEVUT",3607,NA
"35",3604,"<U+05D0><U+05DC><U+05D5><U+05DF> <U+05E9><U+05D1><U+05D5><U+05EA>",2012,11,1,0,4,1,0,1,"ALLON SHEVUT",3607,NA
"36",3604,"<U+05D0><U+05DC><U+05D5><U+05DF> <U+05E9><U+05D1><U+05D5><U+05EA>",2013,11,3,2,1,1,0,3,"ALLON SHEVUT",3607,NA
"37",41,"<U+05D0><U+05DC><U+05D9><U+05DB><U+05D9><U+05DF>",2011,36,9,6,11,0,0,4,"ELYAKHIN",3754,NA
"38",41,"<U+05D0><U+05DC><U+05D9><U+05DB><U+05D9><U+05DF>",2012,30,2,3,8,0,0,5,"ELYAKHIN",3754,NA
"39",41,"<U+05D0><U+05DC><U+05D9><U+05DB><U+05D9><U+05DF>",2013,47,12,0,14,0,0,6,"ELYAKHIN",3754,NA
"40",1309,"<U+05D0><U+05DC><U+05E2><U+05D3>",2011,186,19,40,110,20,0,66,NA,46712,NA
"41",1309,"<U+05D0><U+05DC><U+05E2><U+05D3>",2012,212,23,26,110,26,0,64,NA,46712,NA
"42",1309,"<U+05D0><U+05DC><U+05E2><U+05D3>",2013,211,18,37,128,24,3,83,NA,46712,NA
"43",3750,"<U+05D0><U+05DC><U+05E4><U+05D9> <U+05DE><U+05E0><U+05E9><U+05D4>",2011,42,4,17,22,2,0,17,"ALFE MENASHE",8410,NA
"44",3750,"<U+05D0><U+05DC><U+05E4><U+05D9> <U+05DE><U+05E0><U+05E9><U+05D4>",2012,66,3,28,21,2,0,12,"ALFE MENASHE",8410,NA
"45",3750,"<U+05D0><U+05DC><U+05E4><U+05D9> <U+05DE><U+05E0><U+05E9><U+05D4>",2013,45,6,18,17,3,1,6,"ALFE MENASHE",8410,NA
"46",3560,"<U+05D0><U+05DC><U+05E7><U+05E0><U+05D4>",2011,27,1,0,4,0,0,1,"ELQANA",3949,NA
"47",3560,"<U+05D0><U+05DC><U+05E7><U+05E0><U+05D4>",2012,11,0,3,6,0,0,1,"ELQANA",3949,NA
"48",3560,"<U+05D0><U+05DC><U+05E7><U+05E0><U+05D4>",2013,21,1,2,4,3,0,4,"ELQANA",3949,NA
"49",2710,"<U+05D0><U+05DD> <U+05D0><U+05DC>-<U+05E4><U+05D7><U+05DD>",2011,289,26,124,121,6,4,31,"UMM AL-FAHM",55110,"arab"
"50",2710,"<U+05D0><U+05DD> <U+05D0><U+05DC>-<U+05E4><U+05D7><U+05DD>",2012,335,29,103,176,8,2,60,"UMM AL-FAHM",55110,"arab"
"51",2710,"<U+05D0><U+05DD> <U+05D0><U+05DC>-<U+05E4><U+05D7><U+05DD>",2013,379,24,119,221,7,6,102,"UMM AL-FAHM",55110,"arab"
"52",529,"<U+05D0><U+05E2><U+05D1><U+05DC><U+05D9><U+05DF>",2011,103,9,21,50,2,9,12,"I'BILLIN",13067,"arab"
"53",529,"<U+05D0><U+05E2><U+05D1><U+05DC><U+05D9><U+05DF>",2012,60,7,20,35,1,1,6,"I'BILLIN",13067,"arab"
"54",529,"<U+05D0><U+05E2><U+05D1><U+05DC><U+05D9><U+05DF>",2013,56,2,22,59,5,0,16,"I'BILLIN",13067,"arab"
"55",31,"<U+05D0><U+05E4><U+05E7><U+05D9><U+05DD>",2011,428,27,109,177,15,5,86,"OFAQIM",30844,"jewish"
"56",31,"<U+05D0><U+05E4><U+05E7><U+05D9><U+05DD>",2012,313,18,129,168,15,1,101,"OFAQIM",30844,"jewish"
"57",31,"<U+05D0><U+05E4><U+05E7><U+05D9><U+05DD>",2013,325,17,170,186,13,2,108,"OFAQIM",30844,"jewish"
"58",3650,"<U+05D0><U+05E4><U+05E8><U+05EA><U+05D4>",2011,39,1,12,15,5,0,13,"EFRAT",10733,NA
"59",3650,"<U+05D0><U+05E4><U+05E8><U+05EA><U+05D4>",2012,26,4,11,16,4,0,10,"EFRAT",10733,NA
"60",3650,"<U+05D0><U+05E4><U+05E8><U+05EA><U+05D4>",2013,27,3,8,13,1,1,14,"EFRAT",10733,NA
"61",3570,"<U+05D0><U+05E8><U+05D9><U+05D0><U+05DC>",2011,213,21,61,96,14,3,55,"ARI'EL",20297,"jewish"
"62",3570,"<U+05D0><U+05E8><U+05D9><U+05D0><U+05DC>",2012,199,55,80,92,14,1,58,"ARI'EL",20297,"jewish"
"63",3570,"<U+05D0><U+05E8><U+05D9><U+05D0><U+05DC>",2013,185,20,75,98,15,5,66,"ARI'EL",20297,"jewish"
"64",3760,"<U+05D0><U+05E8><U+05E0><U+05D9><U+05EA>",2011,55,6,69,16,2,0,6,"ORANIT",9279,NA
"65",3760,"<U+05D0><U+05E8><U+05E0><U+05D9><U+05EA>",2012,61,8,22,31,4,0,14,"ORANIT",9279,NA
"66",3760,"<U+05D0><U+05E8><U+05E0><U+05D9><U+05EA>",2013,72,18,26,27,2,0,15,"ORANIT",9279,NA
"67",70,"<U+05D0><U+05E9><U+05D3><U+05D5><U+05D3>",2011,3641,429,423,1171,139,101,757,"ASHDOD",251343,"jewish"
"68",70,"<U+05D0><U+05E9><U+05D3><U+05D5><U+05D3>",2012,3646,376,372,1220,135,95,733,"ASHDOD",251343,"jewish"
"69",70,"<U+05D0><U+05E9><U+05D3><U+05D5><U+05D3>",2013,3539,463,465,1344,138,79,863,"ASHDOD",251343,"jewish"
"70",7100,"<U+05D0><U+05E9><U+05E7><U+05DC><U+05D5><U+05DF>",2011,2412,279,376,724,60,53,392,"ASHQELON",151373,"jewish"
"71",7100,"<U+05D0><U+05E9><U+05E7><U+05DC><U+05D5><U+05DF>",2012,2561,276,418,763,99,64,445,"ASHQELON",151373,"jewish"
"72",7100,"<U+05D0><U+05E9><U+05E7><U+05DC><U+05D5><U+05DF>",2013,2715,265,404,908,78,84,512,"ASHQELON",151373,"jewish"
"73",6000,"<U+05D1><U+05D0><U+05E7><U+05D4> <U+05D2><U+05E8><U+05D1><U+05D9><U+05D4>",2011,275,35,82,137,8,14,54,NA,29197,"arab"
"74",6000,"<U+05D1><U+05D0><U+05E7><U+05D4> <U+05D2><U+05E8><U+05D1><U+05D9><U+05D4>",2012,240,18,80,140,7,8,63,NA,29197,"arab"
"75",6000,"<U+05D1><U+05D0><U+05E7><U+05D4> <U+05D2><U+05E8><U+05D1><U+05D9><U+05D4>",2013,213,25,76,151,11,4,61,NA,29197,"arab"
"76",2530,"<U+05D1><U+05D0><U+05E8> <U+05D9><U+05E2><U+05E7><U+05D1>",2011,465,97,35,87,12,4,40,"BE'ER YA'AQOV",23095,"jewish"
"77",2530,"<U+05D1><U+05D0><U+05E8> <U+05D9><U+05E2><U+05E7><U+05D1>",2012,350,90,32,95,14,6,48,"BE'ER YA'AQOV",23095,"jewish"
"78",2530,"<U+05D1><U+05D0><U+05E8> <U+05D9><U+05E2><U+05E7><U+05D1>",2013,360,65,40,84,16,4,65,"BE'ER YA'AQOV",23095,"jewish"
"79",9000,"<U+05D1><U+05D0><U+05E8> <U+05E9><U+05D1><U+05E2>",2011,5682,835,724,1534,158,157,814,"BE'ER SHEVA",219798,"jewish"
"80",9000,"<U+05D1><U+05D0><U+05E8> <U+05E9><U+05D1><U+05E2>",2012,5748,722,768,1641,202,149,920,"BE'ER SHEVA",219798,"jewish"
"81",9000,"<U+05D1><U+05D0><U+05E8> <U+05E9><U+05D1><U+05E2>",2013,5661,636,809,1763,254,141,1054,"BE'ER SHEVA",219798,"jewish"
"82",1348,"<U+05D1><U+05D9><U+05E8> <U+05D4><U+05D3><U+05D0><U+05D2>'",2011,14,2,10,4,0,0,0,NA,2099,NA
"83",1348,"<U+05D1><U+05D9><U+05E8> <U+05D4><U+05D3><U+05D0><U+05D2>'",2012,35,0,16,9,0,0,0,NA,2099,NA
"84",1348,"<U+05D1><U+05D9><U+05E8> <U+05D4><U+05D3><U+05D0><U+05D2>'",2013,20,2,11,21,1,0,2,NA,2099,NA
"85",998,"<U+05D1><U+05D9><U+05E8> <U+05DE><U+05DB><U+05E1><U+05D5><U+05E8>",2011,29,5,4,42,0,0,9,"BIR EL-MAKSUR",9816,"arab"
"86",998,"<U+05D1><U+05D9><U+05E8> <U+05DE><U+05DB><U+05E1><U+05D5><U+05E8>",2012,31,2,0,45,0,0,6,"BIR EL-MAKSUR",9816,"arab"
"87",998,"<U+05D1><U+05D9><U+05E8> <U+05DE><U+05DB><U+05E1><U+05D5><U+05E8>",2013,27,6,3,35,2,1,8,"BIR EL-MAKSUR",9816,"arab"
"88",3574,"<U+05D1><U+05D9><U+05EA> <U+05D0><U+05DC>",2011,35,4,2,22,1,0,7,"BET EL",6096,NA
"89",3574,"<U+05D1><U+05D9><U+05EA> <U+05D0><U+05DC>",2012,55,3,13,22,2,0,9,"BET EL",6096,NA
"90",3574,"<U+05D1><U+05D9><U+05EA> <U+05D0><U+05DC>",2013,41,1,11,20,6,0,4,"BET EL",6096,NA
"91",3652,"<U+05D1><U+05D9><U+05EA> <U+05D0><U+05E8><U+05D9><U+05D4>",2011,34,3,8,9,1,1,12,"BET ARYE",5172,NA
"92",3652,"<U+05D1><U+05D9><U+05EA> <U+05D0><U+05E8><U+05D9><U+05D4>",2012,46,3,13,13,1,0,11,"BET ARYE",5172,NA
"93",3652,"<U+05D1><U+05D9><U+05EA> <U+05D0><U+05E8><U+05D9><U+05D4>",2013,24,1,8,10,2,0,8,"BET ARYE",5172,NA
"94",480,"<U+05D1><U+05D9><U+05EA> <U+05D2><U+05DF>",2011,53,1,7,36,0,0,23,"BEIT JANN",12014,"arab"
"95",480,"<U+05D1><U+05D9><U+05EA> <U+05D2><U+05DF>",2012,51,2,25,28,3,0,13,"BEIT JANN",12014,"arab"
"96",480,"<U+05D1><U+05D9><U+05EA> <U+05D2><U+05DF>",2013,33,1,10,26,0,0,6,"BEIT JANN",12014,"arab"
"97",466,"<U+05D1><U+05D9><U+05EA> <U+05D3><U+05D2><U+05DF>",2011,111,33,7,27,2,1,17,"BET DAGAN",7001,NA
"98",466,"<U+05D1><U+05D9><U+05EA> <U+05D3><U+05D2><U+05DF>",2012,99,19,19,27,3,1,11,"BET DAGAN",7001,NA
"99",466,"<U+05D1><U+05D9><U+05EA> <U+05D3><U+05D2><U+05DF>",2013,112,20,6,36,3,1,20,"BET DAGAN",7001,NA
"100",9200,"<U+05D1><U+05D9><U+05EA> <U+05E9><U+05D0><U+05DF>",2011,258,13,88,184,20,1,77,"BET SHE'AN",19708,NA
"101",9200,"<U+05D1><U+05D9><U+05EA> <U+05E9><U+05D0><U+05DF>",2012,283,15,121,133,13,1,67,"BET SHE'AN",19708,NA
"102",9200,"<U+05D1><U+05D9><U+05EA> <U+05E9><U+05D0><U+05DF>",2013,269,4,97,169,22,0,90,"BET SHE'AN",19708,NA
"103",2610,"<U+05D1><U+05D9><U+05EA> <U+05E9><U+05DE><U+05E9>",2011,972,112,118,420,51,5,216,"BET SHEMESH",123139,"jewish"
"104",2610,"<U+05D1><U+05D9><U+05EA> <U+05E9><U+05DE><U+05E9>",2012,1200,180,97,445,78,11,234,"BET SHEMESH",123139,"jewish"
"105",2610,"<U+05D1><U+05D9><U+05EA> <U+05E9><U+05DE><U+05E9>",2013,752,73,139,448,76,11,254,"BET SHEMESH",123139,"jewish"
"106",3780,"<U+05D1><U+05D9><U+05EA><U+05E8> <U+05E2><U+05DC><U+05D9><U+05EA>",2011,142,17,16,84,22,0,58,"BETAR ILLIT",58215,NA
"107",3780,"<U+05D1><U+05D9><U+05EA><U+05E8> <U+05E2><U+05DC><U+05D9><U+05EA>",2012,130,16,34,86,35,0,31,"BETAR ILLIT",58215,NA
"108",3780,"<U+05D1><U+05D9><U+05EA><U+05E8> <U+05E2><U+05DC><U+05D9><U+05EA>",2013,145,21,31,86,28,2,39,"BETAR ILLIT",58215,NA
"109",6100,"<U+05D1><U+05E0><U+05D9> <U+05D1><U+05E8><U+05E7>",2011,1766,235,132,433,103,41,237,"BENE BERAQ",202278,"jewish"
"110",6100,"<U+05D1><U+05E0><U+05D9> <U+05D1><U+05E8><U+05E7>",2012,1625,227,180,457,108,28,184,"BENE BERAQ",202278,"jewish"
"111",6100,"<U+05D1><U+05E0><U+05D9> <U+05D1><U+05E8><U+05E7>",2013,1506,195,187,449,111,21,197,"BENE BERAQ",202278,"jewish"
"112",1066,"<U+05D1><U+05E0><U+05D9> <U+05E2><U+05D9>""<U+05E9>",2011,123,23,7,45,5,2,22,"BENE AYISH",7632,NA
"113",1066,"<U+05D1><U+05E0><U+05D9> <U+05E2><U+05D9>""<U+05E9>",2012,113,27,14,40,5,0,24,"BENE AYISH",7632,NA
"114",1066,"<U+05D1><U+05E0><U+05D9> <U+05E2><U+05D9>""<U+05E9>",2013,78,14,30,45,2,0,27,"BENE AYISH",7632,NA
"115",9800,"<U+05D1><U+05E0><U+05D9><U+05DE><U+05D9><U+05E0><U+05D4>",2011,271,39,68,28,10,3,17,"BINYAMINA",15532,"jewish"
"116",9800,"<U+05D1><U+05E0><U+05D9><U+05DE><U+05D9><U+05E0><U+05D4>",2012,250,29,32,34,4,4,13,"BINYAMINA",15532,"jewish"
"117",9800,"<U+05D1><U+05E0><U+05D9><U+05DE><U+05D9><U+05E0><U+05D4>",2013,341,67,17,37,5,1,19,"BINYAMINA",15532,"jewish"
"118",1326,"<U+05D1><U+05E1><U+05DE><U+05D4>",2011,34,0,4,17,0,0,6,"BASMA",10620,NA
"119",1326,"<U+05D1><U+05E1><U+05DE><U+05D4>",2012,30,3,6,19,0,0,5,"BASMA",10620,NA
"120",1326,"<U+05D1><U+05E1><U+05DE><U+05D4>",2013,35,1,2,15,0,0,4,"BASMA",10620,NA
"121",944,"<U+05D1><U+05E1><U+05DE><U+05EA> <U+05D8><U+05D1><U+05E2><U+05D5><U+05DF>",2011,61,5,3,28,3,4,9,"BASMAT TAB'UN",7889,"arab"
"122",944,"<U+05D1><U+05E1><U+05DE><U+05EA> <U+05D8><U+05D1><U+05E2><U+05D5><U+05DF>",2012,51,2,3,25,1,2,12,"BASMAT TAB'UN",7889,"arab"
"123",944,"<U+05D1><U+05E1><U+05DE><U+05EA> <U+05D8><U+05D1><U+05E2><U+05D5><U+05DF>",2013,57,1,8,30,0,2,8,"BASMAT TAB'UN",7889,"arab"
"124",482,"<U+05D1><U+05E2><U+05D9><U+05E0><U+05D4>-<U+05E0><U+05D2>'<U+05D9>",2011,28,2,6,46,2,0,13,"BU'EINE-NUJEIDAT",9884,NA
"125",482,"<U+05D1><U+05E2><U+05D9><U+05E0><U+05D4>-<U+05E0><U+05D2>'<U+05D9>",2012,42,0,1,56,5,0,18,"BU'EINE-NUJEIDAT",9884,NA
"126",482,"<U+05D1><U+05E2><U+05D9><U+05E0><U+05D4>-<U+05E0><U+05D2>'<U+05D9>",2013,27,0,5,48,2,0,24,"BU'EINE-NUJEIDAT",9884,NA
"127",4001,"<U+05D1><U+05E7><U+05E2><U+05EA><U+05D0>",2011,17,0,2,9,0,0,2,"BUQ'ATA",6581,NA
"128",4001,"<U+05D1><U+05E7><U+05E2><U+05EA><U+05D0>",2012,8,0,2,15,0,0,1,"BUQ'ATA",6581,NA
"129",4001,"<U+05D1><U+05E7><U+05E2><U+05EA><U+05D0>",2013,8,1,13,7,0,0,2,"BUQ'ATA",6581,NA
"130",1319,"<U+05D1><U+05EA> <U+05D7><U+05E4><U+05E8>",2011,34,1,1,10,2,0,12,"BAT HEFER",5784,NA
"131",1319,"<U+05D1><U+05EA> <U+05D7><U+05E4><U+05E8>",2012,27,2,36,15,1,0,12,"BAT HEFER",5784,NA
"132",1319,"<U+05D1><U+05EA> <U+05D7><U+05E4><U+05E8>",2013,20,3,3,16,2,0,11,"BAT HEFER",5784,NA
"133",6200,"<U+05D1><U+05EA> <U+05D9><U+05DD>",2011,3356,268,755,858,68,67,658,"BAT YAM",158421,"jewish"
"134",6200,"<U+05D1><U+05EA> <U+05D9><U+05DD>",2012,3186,303,741,805,91,85,651,"BAT YAM",158421,"jewish"
"135",6200,"<U+05D1><U+05EA> <U+05D9><U+05DD>",2013,3002,275,643,856,87,57,652,"BAT YAM",158421,"jewish"
"136",1292,"<U+05D2>'<U+05D3><U+05D9><U+05D3><U+05D4>-<U+05DE><U+05DB><U+05E8>",2011,181,6,281,90,1,3,37,"JUDEIDE-MAKER",20602,"arab"
"137",1292,"<U+05D2>'<U+05D3><U+05D9><U+05D3><U+05D4>-<U+05DE><U+05DB><U+05E8>",2012,176,5,192,100,2,1,48,"JUDEIDE-MAKER",20602,"arab"
