"","town_number","town_h","year","property_crimes","motor_thefts","drugs","assults","sexual_assult","robberies","spousal","town","total","town_type"
"409",1063,"<U+05DE><U+05E2><U+05DC><U+05D5><U+05EA> <U+05EA><U+05E8><U+05E9><U+05D7>",2011,300,3,195,112,10,6,39,"MA'ALOT-TARSHIHA",24325,NA
"410",1063,"<U+05DE><U+05E2><U+05DC><U+05D5><U+05EA> <U+05EA><U+05E8><U+05E9><U+05D7>",2012,278,3,114,104,8,2,57,"MA'ALOT-TARSHIHA",24325,NA
"411",1063,"<U+05DE><U+05E2><U+05DC><U+05D5><U+05EA> <U+05EA><U+05E8><U+05E9><U+05D7>",2013,268,4,124,132,14,2,57,"MA'ALOT-TARSHIHA",24325,NA
"412",518,"<U+05DE><U+05E2><U+05DC><U+05D9><U+05D0>",2011,35,0,5,8,0,1,3,"MI'ELYA",3330,NA
"413",518,"<U+05DE><U+05E2><U+05DC><U+05D9><U+05D0>",2012,23,0,18,16,0,0,4,"MI'ELYA",3330,NA
"414",518,"<U+05DE><U+05E2><U+05DC><U+05D9><U+05D0>",2013,24,1,25,17,0,1,7,"MI'ELYA",3330,NA
"415",99,"<U+05DE><U+05E6><U+05E4><U+05D4> <U+05E8><U+05DE><U+05D5><U+05DF>",2011,140,17,14,35,8,1,9,"MIZPE RAMON",5630,"jewish"
"416",99,"<U+05DE><U+05E6><U+05E4><U+05D4> <U+05E8><U+05DE><U+05D5><U+05DF>",2012,101,12,31,30,3,0,14,"MIZPE RAMON",5630,"jewish"
"417",99,"<U+05DE><U+05E6><U+05E4><U+05D4> <U+05E8><U+05DE><U+05D5><U+05DF>",2013,116,17,11,27,2,0,15,"MIZPE RAMON",5630,"jewish"
"418",635,"<U+05DE><U+05E7><U+05D9><U+05D1><U+05DC><U+05D4>",2011,20,1,5,17,0,0,2,"MUQEIBLE",4126,NA
"419",635,"<U+05DE><U+05E7><U+05D9><U+05D1><U+05DC><U+05D4>",2012,12,0,2,17,0,0,1,"MUQEIBLE",4126,NA
"420",635,"<U+05DE><U+05E7><U+05D9><U+05D1><U+05DC><U+05D4>",2013,24,2,3,18,1,1,2,"MUQEIBLE",4126,NA
"421",1098,"<U+05DE><U+05E8><U+05DB><U+05D6> <U+05E9><U+05E4><U+05D9><U+05E8><U+05D0>",2011,48,9,0,0,1,0,0,"MERKAZ SHAPPIRA",2156,"jewish"
"422",1098,"<U+05DE><U+05E8><U+05DB><U+05D6> <U+05E9><U+05E4><U+05D9><U+05E8><U+05D0>",2012,13,1,0,0,0,0,0,"MERKAZ SHAPPIRA",2156,"jewish"
"423",1098,"<U+05DE><U+05E8><U+05DB><U+05D6> <U+05E9><U+05E4><U+05D9><U+05E8><U+05D0>",2013,32,3,0,3,1,0,1,"MERKAZ SHAPPIRA",2156,"jewish"
"424",520,"<U+05DE><U+05E9><U+05D4><U+05D3>",2011,36,3,3,16,1,0,1,"MESHHED",8559,"arab"
"425",520,"<U+05DE><U+05E9><U+05D4><U+05D3>",2012,28,1,5,23,1,0,10,"MESHHED",8559,"arab"
"426",520,"<U+05DE><U+05E9><U+05D4><U+05D3>",2013,29,3,11,30,2,0,6,"MESHHED",8559,"arab"
"427",1315,"<U+05DE><U+05EA><U+05DF>",2011,13,1,3,2,1,0,2,"MATTAN",3566,NA
"428",1315,"<U+05DE><U+05EA><U+05DF>",2012,19,1,0,4,1,0,2,"MATTAN",3566,NA
"429",1315,"<U+05DE><U+05EA><U+05DF>",2013,33,0,1,2,0,0,2,"MATTAN",3566,NA
"430",9100,"<U+05E0><U+05D4><U+05E8><U+05D9><U+05D4>",2011,1072,45,468,353,34,11,144,"NAHARIYYA",65254,"jewish"
"431",9100,"<U+05E0><U+05D4><U+05E8><U+05D9><U+05D4>",2012,878,37,254,355,32,25,172,"NAHARIYYA",65254,"jewish"
"432",9100,"<U+05E0><U+05D4><U+05E8><U+05D9><U+05D4>",2013,916,24,220,321,27,16,184,"NAHARIYYA",65254,"jewish"
"433",1333,"<U+05E0><U+05D5><U+05E3> <U+05D0><U+05D9><U+05DC><U+05D5><U+05DF>",2011,2,0,1,1,0,0,1,NA,2557,NA
"434",1333,"<U+05E0><U+05D5><U+05E3> <U+05D0><U+05D9><U+05DC><U+05D5><U+05DF>",2012,10,2,0,2,0,0,1,NA,2557,NA
"435",1333,"<U+05E0><U+05D5><U+05E3> <U+05D0><U+05D9><U+05DC><U+05D5><U+05DF>",2013,7,0,0,1,0,0,0,NA,2557,NA
"436",1284,"<U+05E0><U+05D5><U+05E4><U+05D9><U+05EA>",2011,38,1,0,8,1,0,5,"NOFIT",2822,NA
"437",1284,"<U+05E0><U+05D5><U+05E4><U+05D9><U+05EA>",2012,42,2,0,6,0,0,9,"NOFIT",2822,NA
"438",1284,"<U+05E0><U+05D5><U+05E4><U+05D9><U+05EA>",2013,41,4,0,1,0,0,1,"NOFIT",2822,NA
"439",522,"<U+05E0><U+05D7><U+05E3>",2011,35,1,27,53,2,0,14,"NAHEF",13142,"arab"
"440",522,"<U+05E0><U+05D7><U+05E3>",2012,40,1,24,38,3,0,11,"NAHEF",13142,"arab"
"441",522,"<U+05E0><U+05D7><U+05E3>",2013,44,0,20,50,1,2,19,"NAHEF",13142,"arab"
"442",7200,"<U+05E0><U+05E1> <U+05E6><U+05D9><U+05D5><U+05E0><U+05D4>",2011,616,73,35,119,10,6,96,"NES ZIYYONA",48583,NA
"443",7200,"<U+05E0><U+05E1> <U+05E6><U+05D9><U+05D5><U+05E0><U+05D4>",2012,574,85,40,121,13,10,118,"NES ZIYYONA",48583,NA
"444",7200,"<U+05E0><U+05E1> <U+05E6><U+05D9><U+05D5><U+05E0><U+05D4>",2013,606,97,49,126,20,12,105,"NES ZIYYONA",48583,NA
"445",7300,"<U+05E0><U+05E6><U+05E8><U+05EA>",2011,929,81,249,409,20,30,110,"NAZARETH",81510,"arab"
"446",7300,"<U+05E0><U+05E6><U+05E8><U+05EA>",2012,956,75,346,509,14,26,99,"NAZARETH",81510,"arab"
"447",7300,"<U+05E0><U+05E6><U+05E8><U+05EA>",2013,944,100,420,456,20,22,146,"NAZARETH",81510,"arab"
"448",1061,"<U+05E0><U+05E6><U+05E8><U+05EA> <U+05E2><U+05DC><U+05D9><U+05EA>",2011,882,83,392,339,46,23,97,"NAZERAT ILLIT",50273,NA
"449",1061,"<U+05E0><U+05E6><U+05E8><U+05EA> <U+05E2><U+05DC><U+05D9><U+05EA>",2012,823,58,390,384,53,31,135,"NAZERAT ILLIT",50273,NA
"450",1061,"<U+05E0><U+05E6><U+05E8><U+05EA> <U+05E2><U+05DC><U+05D9><U+05EA>",2013,947,68,459,353,46,22,165,"NAZERAT ILLIT",50273,NA
"451",2500,"<U+05E0><U+05E9><U+05E8>",2011,583,64,118,115,10,4,96,"NESHER",24808,"jewish"
"452",2500,"<U+05E0><U+05E9><U+05E8>",2012,587,52,80,115,11,8,60,"NESHER",24808,"jewish"
"453",2500,"<U+05E0><U+05E9><U+05E8>",2013,450,66,55,92,8,6,65,"NESHER",24808,"jewish"
"454",246,"<U+05E0><U+05EA><U+05D9><U+05D1><U+05D5><U+05EA>",2011,405,25,106,195,12,7,67,"NETIVOT",36612,"jewish"
"455",246,"<U+05E0><U+05EA><U+05D9><U+05D1><U+05D5><U+05EA>",2012,466,14,149,216,20,2,70,"NETIVOT",36612,"jewish"
"456",246,"<U+05E0><U+05EA><U+05D9><U+05D1><U+05D5><U+05EA>",2013,455,19,179,247,19,4,104,"NETIVOT",36612,"jewish"
"457",7400,"<U+05E0><U+05EA><U+05E0><U+05D9><U+05D4>",2011,6269,1102,274,1269,116,144,721,"NETANYA",244243,"jewish"
"458",7400,"<U+05E0><U+05EA><U+05E0><U+05D9><U+05D4>",2012,5845,963,341,1365,115,155,927,"NETANYA",244243,"jewish"
"459",7400,"<U+05E0><U+05EA><U+05E0><U+05D9><U+05D4>",2013,5968,968,504,1302,129,175,942,"NETANYA",244243,"jewish"
"460",525,"<U+05E1><U+05D0><U+05D2>'<U+05D5><U+05E8>",2011,37,0,4,12,1,2,2,"SAJUR",4204,NA
"461",525,"<U+05E1><U+05D0><U+05D2>'<U+05D5><U+05E8>",2012,29,0,6,6,1,0,5,"SAJUR",4204,NA
"462",525,"<U+05E1><U+05D0><U+05D2>'<U+05D5><U+05E8>",2013,35,1,6,9,0,1,1,"SAJUR",4204,NA
"463",587,"<U+05E1><U+05D1><U+05D9><U+05D5><U+05DF>",2011,150,9,3,5,2,0,3,"SAVYON",5147,NA
"464",587,"<U+05E1><U+05D1><U+05D9><U+05D5><U+05DF>",2012,141,4,2,9,1,0,6,"SAVYON",5147,NA
"465",587,"<U+05E1><U+05D1><U+05D9><U+05D5><U+05DF>",2013,156,31,11,5,3,0,7,"SAVYON",5147,NA
"466",526,"<U+05E1><U+05D5><U+05DC><U+05DD>",2011,8,0,3,14,0,0,9,"SULAM",2968,NA
"467",526,"<U+05E1><U+05D5><U+05DC><U+05DD>",2012,8,1,1,12,1,0,3,"SULAM",2968,NA
"468",526,"<U+05E1><U+05D5><U+05DC><U+05DD>",2013,14,0,0,19,0,0,12,"SULAM",2968,NA
"469",7500,"<U+05E1><U+05D7>'<U+05E0><U+05D9><U+05DF>",2011,193,4,115,92,5,4,23,"SAKHNIN",31901,NA
"470",7500,"<U+05E1><U+05D7>'<U+05E0><U+05D9><U+05DF>",2012,171,6,77,156,3,2,42,"SAKHNIN",31901,NA
"471",7500,"<U+05E1><U+05D7>'<U+05E0><U+05D9><U+05DF>",2013,179,4,65,168,9,1,61,"SAKHNIN",31901,NA
"472",1245,"<U+05E1><U+05DC><U+05DE><U+05D4>",2011,31,0,0,32,1,0,11,"SALLAMA",3472,NA
"473",1245,"<U+05E1><U+05DC><U+05DE><U+05D4>",2012,35,0,2,20,1,0,4,"SALLAMA",3472,NA
"474",1245,"<U+05E1><U+05DC><U+05DE><U+05D4>",2013,27,1,2,26,0,0,9,"SALLAMA",3472,NA
"475",4501,"<U+05E2><U+05D2>'<U+05E8>",2011,0,0,1,0,0,0,0,"GHAJAR",2618,NA
"476",4501,"<U+05E2><U+05D2>'<U+05E8>",2012,4,0,4,2,1,0,0,"GHAJAR",2618,NA
"477",4501,"<U+05E2><U+05D2>'<U+05E8>",2013,0,0,0,1,0,0,0,"GHAJAR",2618,NA
"478",528,"<U+05E2><U+05D6><U+05D9><U+05E8>",2011,7,1,0,7,0,0,0,"UZEIR",3176,NA
"479",528,"<U+05E2><U+05D6><U+05D9><U+05E8>",2012,14,1,0,13,0,0,2,"UZEIR",3176,NA
"480",528,"<U+05E2><U+05D6><U+05D9><U+05E8>",2013,9,0,1,1,0,0,0,"UZEIR",3176,NA
"481",530,"<U+05E2><U+05D9><U+05DC><U+05D1><U+05D5><U+05DF>",2011,30,1,5,38,1,0,10,"EILABUN",5775,"arab"
"482",530,"<U+05E2><U+05D9><U+05DC><U+05D1><U+05D5><U+05DF>",2012,40,2,1,30,1,2,8,"EILABUN",5775,"arab"
"483",530,"<U+05E2><U+05D9><U+05DC><U+05D1><U+05D5><U+05DF>",2013,27,2,2,25,1,0,10,"EILABUN",5775,"arab"
"484",511,"<U+05E2><U+05D9><U+05DC><U+05D5><U+05D8>",2011,52,1,15,42,2,0,3,"ILUT",8090,NA
"485",511,"<U+05E2><U+05D9><U+05DC><U+05D5><U+05D8>",2012,31,1,17,30,2,0,7,"ILUT",8090,NA
"486",511,"<U+05E2><U+05D9><U+05DC><U+05D5><U+05D8>",2013,33,1,7,36,1,0,7,"ILUT",8090,NA
"487",532,"<U+05E2><U+05D9><U+05DF> <U+05DE><U+05D0><U+05D4><U+05DC>",2011,39,12,2,16,0,1,4,"EIN MAHEL",13258,NA
"488",532,"<U+05E2><U+05D9><U+05DF> <U+05DE><U+05D0><U+05D4><U+05DC>",2012,35,3,6,27,5,1,3,"EIN MAHEL",13258,NA
"489",532,"<U+05E2><U+05D9><U+05DF> <U+05DE><U+05D0><U+05D4><U+05DC>",2013,42,1,3,27,5,0,6,"EIN MAHEL",13258,NA
"490",521,"<U+05E2><U+05D9><U+05DF> <U+05E0><U+05E7><U+05D5><U+05D1><U+05D0>",2011,17,5,5,10,0,0,4,"EIN NAQQUBA",3500,NA
"491",521,"<U+05E2><U+05D9><U+05DF> <U+05E0><U+05E7><U+05D5><U+05D1><U+05D0>",2012,8,2,1,13,1,0,6,"EIN NAQQUBA",3500,NA
"492",521,"<U+05E2><U+05D9><U+05DF> <U+05E0><U+05E7><U+05D5><U+05D1><U+05D0>",2013,15,0,3,7,1,0,7,"EIN NAQQUBA",3500,NA
"493",7600,"<U+05E2><U+05DB><U+05D5>",2011,1168,53,667,401,34,35,194,"AKKO",55788,"mixed"
"494",7600,"<U+05E2><U+05DB><U+05D5>",2012,1142,33,521,443,30,26,202,"AKKO",55788,"mixed"
"495",7600,"<U+05E2><U+05DB><U+05D5>",2013,1091,18,569,401,33,38,209,"AKKO",55788,"mixed"
"496",3765,"<U+05E2><U+05DC><U+05D9>",2011,16,1,3,7,5,0,3,"ELI",4084,NA
"497",3765,"<U+05E2><U+05DC><U+05D9>",2012,52,9,8,5,3,0,2,"ELI",4084,NA
"498",3765,"<U+05E2><U+05DC><U+05D9>",2013,23,3,0,9,1,0,8,"ELI",4084,NA
"499",3660,"<U+05E2><U+05DE><U+05E0><U+05D5><U+05D0><U+05DC>",2011,49,2,13,13,4,0,2,"IMMANU'EL",4032,NA
"500",3660,"<U+05E2><U+05DE><U+05E0><U+05D5><U+05D0><U+05DC>",2012,38,4,17,23,7,1,7,"IMMANU'EL",4032,NA
"501",3660,"<U+05E2><U+05DE><U+05E0><U+05D5><U+05D0><U+05DC>",2013,47,4,33,21,2,1,10,"IMMANU'EL",4032,NA
"502",666,"<U+05E2><U+05DE><U+05E8>",2011,157,21,8,16,2,1,9,"OMER",8927,"jewish"
"503",666,"<U+05E2><U+05DE><U+05E8>",2012,160,22,16,23,1,1,10,"OMER",8927,"jewish"
"504",666,"<U+05E2><U+05DE><U+05E8>",2013,167,17,7,27,3,2,9,"OMER",8927,"jewish"
"505",7700,"<U+05E2><U+05E4><U+05D5><U+05DC><U+05D4>",2011,1245,108,193,329,44,11,141,"AFULA",53229,"jewish"
"506",7700,"<U+05E2><U+05E4><U+05D5><U+05DC><U+05D4>",2012,1231,98,208,353,45,17,162,"AFULA",53229,"jewish"
"507",7700,"<U+05E2><U+05E4><U+05D5><U+05DC><U+05D4>",2013,1179,51,295,407,56,20,175,"AFULA",53229,"jewish"
"508",3617,"<U+05E2><U+05E4><U+05E8><U+05D4>",2011,12,1,4,3,0,0,1,"OFRA",3444,NA
"509",3617,"<U+05E2><U+05E4><U+05E8><U+05D4>",2012,12,5,4,5,0,0,4,"OFRA",3444,NA
"510",3617,"<U+05E2><U+05E4><U+05E8><U+05D4>",2013,15,0,10,4,0,1,0,"OFRA",3444,NA
"511",531,"<U+05E2><U+05E8><U+05D0><U+05D1><U+05D4>",2011,161,10,25,133,3,4,47,"ARRABE",25827,"arab"
"512",531,"<U+05E2><U+05E8><U+05D0><U+05D1><U+05D4>",2012,145,7,48,129,10,4,33,"ARRABE",25827,"arab"
"513",531,"<U+05E2><U+05E8><U+05D0><U+05D1><U+05D4>",2013,152,13,40,129,2,0,42,"ARRABE",25827,"arab"
"514",2560,"<U+05E2><U+05E8><U+05D3>",2011,530,29,106,207,20,4,79,"ARAD",30343,"jewish"
"515",2560,"<U+05E2><U+05E8><U+05D3>",2012,449,37,85,162,27,7,73,"ARAD",30343,"jewish"
"516",2560,"<U+05E2><U+05E8><U+05D3>",2013,513,46,82,245,24,7,109,"ARAD",30343,"jewish"
"517",637,"<U+05E2><U+05E8><U+05E2><U+05E8><U+05D4>",2011,134,9,31,91,5,4,30,"AR'ARA",19728,"arab"
"518",637,"<U+05E2><U+05E8><U+05E2><U+05E8><U+05D4>",2012,162,18,59,89,4,6,25,"AR'ARA",19728,"arab"
"519",637,"<U+05E2><U+05E8><U+05E2><U+05E8><U+05D4>",2013,175,24,28,89,1,1,37,"AR'ARA",19728,"arab"
"520",1192,"<U+05E2><U+05E8><U+05E2><U+05E8><U+05D4>-<U+05D1><U+05E0><U+05D2><U+05D1>",2011,42,1,3,40,3,0,5,"AR'ARA-BANEGEV",17133,NA
"521",1192,"<U+05E2><U+05E8><U+05E2><U+05E8><U+05D4>-<U+05D1><U+05E0><U+05D2><U+05D1>",2012,67,1,1,47,0,0,12,"AR'ARA-BANEGEV",17133,NA
"522",1192,"<U+05E2><U+05E8><U+05E2><U+05E8><U+05D4>-<U+05D1><U+05E0><U+05D2><U+05D1>",2013,80,4,2,69,5,0,16,"AR'ARA-BANEGEV",17133,NA
"523",53,"<U+05E2><U+05EA><U+05DC><U+05D9><U+05EA>",2011,141,10,104,43,2,2,10,"ATLIT",7517,"jewish"
"524",53,"<U+05E2><U+05EA><U+05DC><U+05D9><U+05EA>",2012,138,11,63,24,3,0,23,"ATLIT",7517,"jewish"
"525",53,"<U+05E2><U+05EA><U+05DC><U+05D9><U+05EA>",2013,85,5,60,32,2,1,19,"ATLIT",7517,"jewish"
"526",535,"<U+05E4><U+05E1><U+05D5><U+05D8><U+05D4>",2011,14,0,4,7,1,0,2,"FASSUTA",3448,NA
"527",535,"<U+05E4><U+05E1><U+05D5><U+05D8><U+05D4>",2012,13,0,3,10,0,0,3,"FASSUTA",3448,NA
"528",535,"<U+05E4><U+05E1><U+05D5><U+05D8><U+05D4>",2013,15,0,3,10,1,0,6,"FASSUTA",3448,NA
"529",536,"<U+05E4><U+05E7><U+05D9><U+05E2><U+05D9><U+05DF>",2011,42,0,7,15,0,0,2,"PEQI'IN (BUQEI'A)",5973,NA
"530",536,"<U+05E4><U+05E7><U+05D9><U+05E2><U+05D9><U+05DF>",2012,38,0,7,10,1,1,7,"PEQI'IN (BUQEI'A)",5973,NA
"531",536,"<U+05E4><U+05E7><U+05D9><U+05E2><U+05D9><U+05DF>",2013,30,2,4,11,2,0,2,"PEQI'IN (BUQEI'A)",5973,NA
"532",537,"<U+05E4><U+05E8><U+05D3><U+05D9><U+05E1>",2011,91,9,82,54,1,1,18,"FUREIDIS",13085,"arab"
"533",537,"<U+05E4><U+05E8><U+05D3><U+05D9><U+05E1>",2012,126,8,52,54,4,1,16,"FUREIDIS",13085,"arab"
"534",537,"<U+05E4><U+05E8><U+05D3><U+05D9><U+05E1>",2013,125,4,36,58,3,2,20,"FUREIDIS",13085,"arab"
"535",7800,"<U+05E4><U+05E8><U+05D3><U+05E1> <U+05D7><U+05E0><U+05D4>",2011,637,74,128,187,24,10,96,"PARDES HANNA-KARKUR",43026,"jewish"
"536",7800,"<U+05E4><U+05E8><U+05D3><U+05E1> <U+05D7><U+05E0><U+05D4>",2012,747,87,126,162,23,6,92,"PARDES HANNA-KARKUR",43026,"jewish"
"537",7800,"<U+05E4><U+05E8><U+05D3><U+05E1> <U+05D7><U+05E0><U+05D4>",2013,614,100,91,171,19,5,111,"PARDES HANNA-KARKUR",43026,"jewish"
"538",171,"<U+05E4><U+05E8><U+05D3><U+05E1><U+05D9><U+05D4>",2011,96,21,5,18,3,0,16,"PARDESIYYA",6595,NA
"539",171,"<U+05E4><U+05E8><U+05D3><U+05E1><U+05D9><U+05D4>",2012,98,17,9,15,3,1,19,"PARDESIYYA",6595,NA
"540",171,"<U+05E4><U+05E8><U+05D3><U+05E1><U+05D9><U+05D4>",2013,86,9,9,17,5,1,13,"PARDESIYYA",6595,NA
"541",7900,"<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D4>",2011,4957,918,504,1013,110,34,646,"PETAH TIQWA",264093,NA
"542",7900,"<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D4>",2012,5007,1035,399,1116,116,63,727,"PETAH TIQWA",264093,NA
"543",7900,"<U+05E4><U+05EA><U+05D7> <U+05EA><U+05E7><U+05D5><U+05D4>",2013,5289,1126,475,1007,123,65,763,"PETAH TIQWA",264093,NA
"544",1113,"<U+05E6><U+05D5><U+05E8> <U+05D4><U+05D3><U+05E1><U+05D4>",2011,104,28,5,12,0,0,7,"ZUR HADASSA",7074,NA
"545",1113,"<U+05E6><U+05D5><U+05E8> <U+05D4><U+05D3><U+05E1><U+05D4>",2012,93,30,1,13,3,0,12,"ZUR HADASSA",7074,NA
"546",1113,"<U+05E6><U+05D5><U+05E8> <U+05D4><U+05D3><U+05E1><U+05D4>",2013,68,14,6,17,4,2,12,"ZUR HADASSA",7074,NA
"547",276,"<U+05E6><U+05D5><U+05E8> <U+05DE><U+05E9><U+05D4>",2011,35,8,2,4,1,0,3,"ZUR MOSHE",2936,NA
"548",276,"<U+05E6><U+05D5><U+05E8> <U+05DE><U+05E9><U+05D4>",2012,71,15,5,8,1,0,10,"ZUR MOSHE",2936,NA
"549",276,"<U+05E6><U+05D5><U+05E8> <U+05DE><U+05E9><U+05D4>",2013,52,7,3,7,2,0,6,"ZUR MOSHE",2936,NA
"550",8000,"<U+05E6><U+05E4><U+05EA>",2011,543,20,221,233,28,0,118,"ZEFAT",38125,"jewish"
"551",8000,"<U+05E6><U+05E4><U+05EA>",2012,532,13,173,290,43,2,157,"ZEFAT",38125,"jewish"
"552",8000,"<U+05E6><U+05E4><U+05EA>",2013,527,9,141,254,38,4,140,"ZEFAT",38125,"jewish"
"553",3557,"<U+05E7><U+05D3><U+05D5><U+05DE><U+05D9><U+05DD>",2011,25,5,4,9,0,0,2,"QEDUMIM",4779,"jewish"
"554",3557,"<U+05E7><U+05D3><U+05D5><U+05DE><U+05D9><U+05DD>",2012,25,2,5,8,2,2,3,"QEDUMIM",4779,"jewish"
"555",3557,"<U+05E7><U+05D3><U+05D5><U+05DE><U+05D9><U+05DD>",2013,17,1,6,9,3,1,5,"QEDUMIM",4779,"jewish"
"556",195,"<U+05E7><U+05D3><U+05D9><U+05DE><U+05D4> <U+05E6><U+05D5><U+05E8><U+05DF>",2011,490,89,14,52,5,0,53,"QADIMA-ZORAN",22349,NA
