town_number,town_h,year,property_crimes,motor_thefts,drugs,assults,sexual_assult,robberies,spousal
634,כפר קאסם  ,2011,200,37,44,72,4,4,37
634,כפר קאסם  ,2012,207,53,53,84,2,7,35
634,כפר קאסם  ,2013,257,76,44,89,5,7,37
654,כפר קרע   ,2011,209,30,112,109,3,3,24
654,כפר קרע   ,2012,201,24,94,106,6,4,35
654,כפר קרע   ,2013,200,22,111,93,6,1,29
47,כפר תבור  ,2011,50,6,24,6,0,0,7
47,כפר תבור  ,2012,46,1,21,7,1,0,5
47,כפר תבור  ,2013,46,5,2,9,2,0,4
1139,כרמיאל    ,2011,660,20,191,253,32,4,102
1139,כרמיאל    ,2012,646,26,162,204,27,12,103
1139,כרמיאל    ,2013,510,19,149,214,35,12,114
1271,להבים     ,2011,99,9,3,11,0,3,1
1271,להבים     ,2012,127,15,7,13,1,1,5
1271,להבים     ,2013,183,19,5,15,1,2,9
7000,לוד       ,2011,2133,251,556,566,66,94,228
7000,לוד       ,2012,1962,263,441,572,60,66,276
7000,לוד       ,2013,2079,272,660,533,66,64,263
1310,לפיד      ,2011,20,5,2,1,2,1,1
1310,לפיד      ,2012,14,3,2,1,0,0,2
1310,לפיד      ,2013,25,0,3,7,1,0,4
1060,לקיה      ,2011,68,5,8,20,0,1,5
1060,לקיה      ,2012,53,3,14,44,0,2,10
1060,לקיה      ,2013,63,7,14,42,1,1,9
1015,מבשרת ציון,2011,355,64,44,80,13,0,58
1015,מבשרת ציון,2012,383,78,58,85,20,4,62
1015,מבשרת ציון,2013,433,89,50,118,11,4,64
516,מג'דל כרום,2011,74,3,30,61,2,1,8
516,מג'דל כרום,2012,79,3,19,90,0,0,23
516,מג'דל כרום,2013,84,4,38,76,7,8,17
4201,מג'דל שמס ,2011,34,1,16,25,1,0,4
4201,מג'דל שמס ,2012,34,1,9,47,3,0,11
4201,מג'דל שמס ,2013,35,0,19,26,2,2,10
481,מגאר      ,2011,75,4,7,76,3,1,26
481,מגאר      ,2012,105,1,2,78,4,0,30
481,מגאר      ,2013,92,0,1,69,6,0,30
874,מגדל העמק ,2011,496,34,165,200,24,7,87
874,מגדל העמק ,2012,554,24,149,177,16,13,81
874,מגדל העמק ,2013,459,27,208,168,15,3,74
1200,מודיעין   ,2011,778,103,155,197,21,5,169
1200,מודיעין   ,2012,839,123,120,197,22,4,170
1200,מודיעין   ,2013,866,106,186,244,47,4,179
3797,מודיעין-על,2011,164,8,18,70,21,0,33
3797,מודיעין-על,2012,178,13,19,70,21,1,30
3797,מודיעין-על,2013,134,11,35,83,28,0,36
28,מזכרת בתיה,2011,153,25,2,21,2,2,19
28,מזכרת בתיה,2012,116,21,9,26,1,3,20
28,מזכרת בתיה,2013,128,26,18,22,2,4,11
517,מזרעה     ,2011,30,0,1,20,0,0,5
517,מזרעה     ,2012,35,1,0,16,0,0,4
517,מזרעה     ,2013,27,3,2,15,1,1,8
1268,מיתר      ,2011,58,1,2,15,2,1,8
1268,מיתר      ,2012,62,2,1,15,2,0,12
1268,מיתר      ,2013,63,5,2,17,2,0,6
4203,מסעדה     ,2011,16,0,10,9,1,0,1
4203,מסעדה     ,2012,15,0,5,15,1,0,2
4203,מסעדה     ,2013,13,1,9,9,1,0,1
3616,מעלה אדמים,2011,482,26,91,173,30,1,119
3616,מעלה אדמים,2012,407,33,264,175,27,3,97
3616,מעלה אדמים,2013,403,31,159,194,23,2,123
1327,מעלה עירון,2011,63,4,4,20,1,0,4
1327,מעלה עירון,2012,58,3,5,49,0,0,11
1327,מעלה עירון,2013,59,2,3,33,3,2,14
1063,מעלות תרשח,2011,300,3,195,112,10,6,39
1063,מעלות תרשח,2012,278,3,114,104,8,2,57
1063,מעלות תרשח,2013,268,4,124,132,14,2,57
518,מעליא     ,2011,35,0,5,8,0,1,3
518,מעליא     ,2012,23,0,18,16,0,0,4
518,מעליא     ,2013,24,1,25,17,0,1,7
99,מצפה רמון ,2011,140,17,14,35,8,1,9
99,מצפה רמון ,2012,101,12,31,30,3,0,14
99,מצפה רמון ,2013,116,17,11,27,2,0,15
635,מקיבלה    ,2011,20,1,5,17,0,0,2
635,מקיבלה    ,2012,12,0,2,17,0,0,1
635,מקיבלה    ,2013,24,2,3,18,1,1,2
1098,מרכז שפירא,2011,48,9,0,0,1,0,0
1098,מרכז שפירא,2012,13,1,0,0,0,0,0
1098,מרכז שפירא,2013,32,3,0,3,1,0,1
520,משהד      ,2011,36,3,3,16,1,0,1
520,משהד      ,2012,28,1,5,23,1,0,10
520,משהד      ,2013,29,3,11,30,2,0,6
1315,מתן       ,2011,13,1,3,2,1,0,2
1315,מתן       ,2012,19,1,0,4,1,0,2
1315,מתן       ,2013,33,0,1,2,0,0,2
9100,נהריה     ,2011,1072,45,468,353,34,11,144
9100,נהריה     ,2012,878,37,254,355,32,25,172
9100,נהריה     ,2013,916,24,220,321,27,16,184
1333,נוף אילון ,2011,2,0,1,1,0,0,1
1333,נוף אילון ,2012,10,2,0,2,0,0,1
1333,נוף אילון ,2013,7,0,0,1,0,0,0
1284,נופית     ,2011,38,1,0,8,1,0,5
1284,נופית     ,2012,42,2,0,6,0,0,9
1284,נופית     ,2013,41,4,0,1,0,0,1
522,נחף       ,2011,35,1,27,53,2,0,14
522,נחף       ,2012,40,1,24,38,3,0,11
522,נחף       ,2013,44,0,20,50,1,2,19
7200,נס ציונה  ,2011,616,73,35,119,10,6,96
7200,נס ציונה  ,2012,574,85,40,121,13,10,118
7200,נס ציונה  ,2013,606,97,49,126,20,12,105
7300,נצרת      ,2011,929,81,249,409,20,30,110
7300,נצרת      ,2012,956,75,346,509,14,26,99
7300,נצרת      ,2013,944,100,420,456,20,22,146
1061,נצרת עלית ,2011,882,83,392,339,46,23,97
1061,נצרת עלית ,2012,823,58,390,384,53,31,135
1061,נצרת עלית ,2013,947,68,459,353,46,22,165
2500,נשר       ,2011,583,64,118,115,10,4,96
2500,נשר       ,2012,587,52,80,115,11,8,60
2500,נשר       ,2013,450,66,55,92,8,6,65
246,נתיבות    ,2011,405,25,106,195,12,7,67
246,נתיבות    ,2012,466,14,149,216,20,2,70
246,נתיבות    ,2013,455,19,179,247,19,4,104
7400,נתניה     ,2011,6269,1102,274,1269,116,144,721
7400,נתניה     ,2012,5845,963,341,1365,115,155,927
7400,נתניה     ,2013,5968,968,504,1302,129,175,942
525,סאג'ור    ,2011,37,0,4,12,1,2,2
525,סאג'ור    ,2012,29,0,6,6,1,0,5
525,סאג'ור    ,2013,35,1,6,9,0,1,1
587,סביון     ,2011,150,9,3,5,2,0,3
587,סביון     ,2012,141,4,2,9,1,0,6
587,סביון     ,2013,156,31,11,5,3,0,7
526,סולם      ,2011,8,0,3,14,0,0,9
526,סולם      ,2012,8,1,1,12,1,0,3
526,סולם      ,2013,14,0,0,19,0,0,12
7500,סח'נין    ,2011,193,4,115,92,5,4,23
7500,סח'נין    ,2012,171,6,77,156,3,2,42
7500,סח'נין    ,2013,179,4,65,168,9,1,61
1245,סלמה      ,2011,31,0,0,32,1,0,11
1245,סלמה      ,2012,35,0,2,20,1,0,4
1245,סלמה      ,2013,27,1,2,26,0,0,9
4501,עג'ר      ,2011,0,0,1,0,0,0,0
4501,עג'ר      ,2012,4,0,4,2,1,0,0
4501,עג'ר      ,2013,0,0,0,1,0,0,0
528,עזיר      ,2011,7,1,0,7,0,0,0
528,עזיר      ,2012,14,1,0,13,0,0,2
528,עזיר      ,2013,9,0,1,1,0,0,0
530,עילבון    ,2011,30,1,5,38,1,0,10
530,עילבון    ,2012,40,2,1,30,1,2,8
530,עילבון    ,2013,27,2,2,25,1,0,10
511,עילוט     ,2011,52,1,15,42,2,0,3
511,עילוט     ,2012,31,1,17,30,2,0,7
511,עילוט     ,2013,33,1,7,36,1,0,7
532,עין מאהל  ,2011,39,12,2,16,0,1,4
532,עין מאהל  ,2012,35,3,6,27,5,1,3
532,עין מאהל  ,2013,42,1,3,27,5,0,6
521,עין נקובא ,2011,17,5,5,10,0,0,4
521,עין נקובא ,2012,8,2,1,13,1,0,6
521,עין נקובא ,2013,15,0,3,7,1,0,7
7600,עכו       ,2011,1168,53,667,401,34,35,194
7600,עכו       ,2012,1142,33,521,443,30,26,202
7600,עכו       ,2013,1091,18,569,401,33,38,209
3765,עלי       ,2011,16,1,3,7,5,0,3
3765,עלי       ,2012,52,9,8,5,3,0,2
3765,עלי       ,2013,23,3,0,9,1,0,8
3660,עמנואל    ,2011,49,2,13,13,4,0,2
3660,עמנואל    ,2012,38,4,17,23,7,1,7
3660,עמנואל    ,2013,47,4,33,21,2,1,10
666,עמר       ,2011,157,21,8,16,2,1,9
666,עמר       ,2012,160,22,16,23,1,1,10
666,עמר       ,2013,167,17,7,27,3,2,9
7700,עפולה     ,2011,1245,108,193,329,44,11,141
7700,עפולה     ,2012,1231,98,208,353,45,17,162
7700,עפולה     ,2013,1179,51,295,407,56,20,175
3617,עפרה      ,2011,12,1,4,3,0,0,1
3617,עפרה      ,2012,12,5,4,5,0,0,4
3617,עפרה      ,2013,15,0,10,4,0,1,0
531,עראבה     ,2011,161,10,25,133,3,4,47
531,עראבה     ,2012,145,7,48,129,10,4,33
531,עראבה     ,2013,152,13,40,129,2,0,42
2560,ערד       ,2011,530,29,106,207,20,4,79
2560,ערד       ,2012,449,37,85,162,27,7,73
2560,ערד       ,2013,513,46,82,245,24,7,109
637,ערערה     ,2011,134,9,31,91,5,4,30
637,ערערה     ,2012,162,18,59,89,4,6,25
637,ערערה     ,2013,175,24,28,89,1,1,37
1192,ערערה-בנגב,2011,42,1,3,40,3,0,5
1192,ערערה-בנגב,2012,67,1,1,47,0,0,12
1192,ערערה-בנגב,2013,80,4,2,69,5,0,16
53,עתלית     ,2011,141,10,104,43,2,2,10
53,עתלית     ,2012,138,11,63,24,3,0,23
53,עתלית     ,2013,85,5,60,32,2,1,19
535,פסוטה     ,2011,14,0,4,7,1,0,2
535,פסוטה     ,2012,13,0,3,10,0,0,3
535,פסוטה     ,2013,15,0,3,10,1,0,6
536,פקיעין    ,2011,42,0,7,15,0,0,2
536,פקיעין    ,2012,38,0,7,10,1,1,7
536,פקיעין    ,2013,30,2,4,11,2,0,2
537,פרדיס     ,2011,91,9,82,54,1,1,18
537,פרדיס     ,2012,126,8,52,54,4,1,16
537,פרדיס     ,2013,125,4,36,58,3,2,20
7800,פרדס חנה  ,2011,637,74,128,187,24,10,96
7800,פרדס חנה  ,2012,747,87,126,162,23,6,92
7800,פרדס חנה  ,2013,614,100,91,171,19,5,111
171,פרדסיה    ,2011,96,21,5,18,3,0,16
171,פרדסיה    ,2012,98,17,9,15,3,1,19
171,פרדסיה    ,2013,86,9,9,17,5,1,13
7900,פתח תקוה  ,2011,4957,918,504,1013,110,34,646
7900,פתח תקוה  ,2012,5007,1035,399,1116,116,63,727
7900,פתח תקוה  ,2013,5289,1126,475,1007,123,65,763
1113,צור הדסה  ,2011,104,28,5,12,0,0,7
1113,צור הדסה  ,2012,93,30,1,13,3,0,12
1113,צור הדסה  ,2013,68,14,6,17,4,2,12
276,צור משה   ,2011,35,8,2,4,1,0,3
276,צור משה   ,2012,71,15,5,8,1,0,10
276,צור משה   ,2013,52,7,3,7,2,0,6
8000,צפת       ,2011,543,20,221,233,28,0,118
8000,צפת       ,2012,532,13,173,290,43,2,157
8000,צפת       ,2013,527,9,141,254,38,4,140
3557,קדומים    ,2011,25,5,4,9,0,0,2
3557,קדומים    ,2012,25,2,5,8,2,2,3
3557,קדומים    ,2013,17,1,6,9,3,1,5
195,קדימה צורן,2011,490,89,14,52,5,0,53
195,קדימה צורן,2012,349,57,14,46,7,4,37
195,קדימה צורן,2013,293,40,39,63,12,2,44
1167,קיסריה    ,2011,229,15,40,23,3,1,20
1167,קיסריה    ,2012,338,15,49,27,3,2,12
1167,קיסריה    ,2013,255,18,38,29,4,1,15
638,קלנסוה    ,2011,157,29,68,95,8,4,41
638,קלנסוה    ,2012,192,43,59,111,3,6,52
638,קלנסוה    ,2013,202,50,34,111,3,2,53
4100,קצרין     ,2011,117,1,51,41,3,1,25
4100,קצרין     ,2012,109,2,37,48,5,0,20
4100,קצרין     ,2013,92,3,30,42,4,0,21
9500,קר ביאליק ,2011,1248,112,172,258,33,25,149
9500,קר ביאליק ,2012,1180,74,128,220,31,24,147
9500,קר ביאליק ,2013,997,40,129,277,22,20,197
8200,קר מוצקין ,2011,884,56,180,211,27,18,164
8200,קר מוצקין ,2012,809,63,117,192,34,19,159
8200,קר מוצקין ,2013,657,24,144,185,22,15,147
2620,קרית אונו ,2011,479,107,42,75,12,3,63
2620,קרית אונו ,2012,519,116,44,112,8,5,71
2620,קרית אונו ,2013,573,78,49,92,13,3,73
3611,קרית ארבע ,2011,89,4,21,50,7,1,27
3611,קרית ארבע ,2012,62,5,22,34,7,0,20
3611,קרית ארבע ,2013,58,4,26,28,7,0,15
6800,קרית אתא  ,2011,1432,134,337,331,39,27,214
6800,קרית אתא  ,2012,1278,89,260,304,26,23,202
6800,קרית אתא  ,2013,1094,50,302,356,33,16,211
2630,קרית גת   ,2011,978,120,143,319,45,14,182
2630,קרית גת   ,2012,993,121,134,336,40,14,180
2630,קרית גת   ,2013,807,90,146,365,51,15,229
2300,קרית טבעון,2011,424,55,30,64,16,5,34
2300,קרית טבעון,2012,302,45,33,52,12,4,27
2300,קרית טבעון,2013,331,22,23,50,7,6,23
9600,קרית ים   ,2011,889,62,231,231,27,19,157
9600,קרית ים   ,2012,826,61,269,261,21,23,171
9600,קרית ים   ,2013,766,30,314,254,22,23,183
1137,קרית יערים,2011,20,0,6,10,3,0,2
1137,קרית יערים,2012,14,0,2,6,1,0,4
1137,קרית יערים,2013,12,1,5,4,1,0,3
1034,קרית מלאכי,2011,518,65,33,180,20,11,100
1034,קרית מלאכי,2012,473,65,60,194,30,5,126
1034,קרית מלאכי,2013,518,60,56,210,28,11,110
469,קרית עקרון,2011,358,65,14,49,6,5,32
469,קרית עקרון,2012,331,57,28,63,9,3,34
469,קרית עקרון,2013,324,50,31,50,8,5,34
2800,קרית שמונה,2011,353,7,112,116,16,3,60
2800,קרית שמונה,2012,341,6,140,147,19,2,89
2800,קרית שמונה,2013,364,11,97,148,23,0,80
3640,קרנישומרון,2011,93,15,5,18,4,1,9
3640,קרנישומרון,2012,92,15,7,25,6,0,19
3640,קרנישומרון,2013,74,9,14,32,2,1,17
543,ראמה      ,2011,53,6,24,33,2,1,6
543,ראמה      ,2012,59,1,17,28,1,4,4
543,ראמה      ,2013,48,3,42,36,1,1,11
2640,ראש העין  ,2011,549,65,77,178,29,3,122
2640,ראש העין  ,2012,636,99,82,190,26,5,110
2640,ראש העין  ,2013,802,130,63,189,17,8,108
26,ראש פנה   ,2011,114,11,45,26,9,0,5
26,ראש פנה   ,2012,82,2,25,12,2,0,8
26,ראש פנה   ,2013,74,1,31,21,2,0,3
8300,"ראשל""צ    ",2011,5732,921,452,1112,115,72,688
8300,"ראשל""צ    ",2012,4938,741,548,1042,132,73,734
8300,"ראשל""צ    ",2013,4980,682,512,1068,127,73,732
1161,רהט       ,2011,376,25,72,209,8,6,31
1161,רהט       ,2012,348,17,47,291,16,6,53
1161,רהט       ,2013,356,12,83,324,10,11,63
8400,רחובות    ,2011,2502,285,318,457,51,41,299
8400,רחובות    ,2012,2234,282,347,442,84,36,242
8400,רחובות    ,2013,2128,279,405,502,79,31,336
542,רינה      ,2011,83,4,6,64,0,2,12
542,רינה      ,2012,68,5,12,59,4,1,14
542,רינה      ,2013,67,6,19,70,4,0,28
922,רכסים     ,2011,104,7,7,35,7,2,30
922,רכסים     ,2012,105,7,19,38,5,1,17
922,רכסים     ,2013,77,2,13,34,9,0,16
8500,רמלה      ,2011,2154,251,509,595,58,51,307
8500,רמלה      ,2012,2317,346,404,541,52,101,257
8500,רמלה      ,2013,1874,290,369,671,64,54,328
8600,רמת גן    ,2011,3327,466,392,558,85,32,334
8600,רמת גן    ,2012,3266,508,334,603,66,37,385
8600,רמת גן    ,2013,3256,447,409,549,85,38,313
2650,רמת השרון ,2011,808,104,61,116,18,3,58
2650,רמת השרון ,2012,920,116,154,121,16,3,82
2650,רמת השרון ,2013,769,43,153,104,13,5,72
122,רמת ישי   ,2011,184,17,9,33,8,3,19
122,רמת ישי   ,2012,162,17,10,30,3,2,21
122,רמת ישי   ,2013,103,10,15,23,2,2,17
8700,רעננה     ,2011,1354,190,66,245,25,7,153
8700,רעננה     ,2012,1620,196,74,206,21,6,132
8700,רעננה     ,2013,1315,140,69,212,31,6,107
913,שבלי-א גנם,2011,48,2,4,45,1,0,4
913,שבלי-א גנם,2012,55,3,8,62,0,6,14
913,שבלי-א גנם,2013,49,3,14,37,3,0,17
1286,שגב-שלום  ,2011,76,1,34,29,1,2,17
1286,שגב-שלום  ,2012,70,4,21,44,2,1,10
1286,שגב-שלום  ,2013,89,10,29,64,4,3,22
1031,שדרות     ,2011,459,39,135,198,18,2,124
1031,שדרות     ,2012,411,23,156,175,15,7,101
1031,שדרות     ,2013,373,30,166,177,25,7,118
1304,שוהם      ,2011,279,89,5,24,2,1,24
1304,שוהם      ,2012,246,40,9,27,5,1,25
1304,שוהם      ,2013,204,14,38,29,4,2,18
658,שיח  דנון ,2011,22,0,3,12,1,0,3
658,שיח  דנון ,2012,28,0,1,17,1,1,4
658,שיח  דנון ,2013,25,0,7,12,0,0,4
3641,שילה      ,2011,21,8,10,11,3,0,1
3641,שילה      ,2012,16,4,5,4,0,0,2
3641,שילה      ,2013,23,1,6,6,0,0,0
1337,שימשית    ,2011,27,3,2,1,0,0,0
1337,שימשית    ,2012,37,1,0,2,0,0,3
1337,שימשית    ,2013,10,0,3,3,0,0,1
812,שלומי     ,2011,92,3,38,42,3,0,26
812,שלומי     ,2012,63,3,3,35,3,1,30
812,שלומי     ,2013,62,0,16,33,2,0,27
538,שעב       ,2011,40,3,34,22,3,0,5
538,שעב       ,2012,58,0,32,42,1,0,15
538,שעב       ,2013,58,0,23,36,3,1,16
3720,שערי תקוה ,2011,27,2,3,5,1,0,4
3720,שערי תקוה ,2012,54,3,3,14,2,0,9
3720,שערי תקוה ,2013,49,8,16,13,1,0,5
8800,שפרעם     ,2011,434,60,128,228,6,4,54
8800,שפרעם     ,2012,412,46,98,213,13,6,74
8800,שפרעם     ,2013,381,18,107,210,17,5,62
5000,"ת""א -יפו  ",2011,21388,2436,3268,3418,392,588,1517
5000,"ת""א -יפו  ",2012,21870,2548,2578,3510,435,882,1490
5000,"ת""א -יפו  ",2013,20746,2039,2830,3580,411,807,1540
154,תל מונד   ,2011,289,43,76,75,6,3,34
154,תל מונד   ,2012,160,18,146,54,7,0,32
154,תל מונד   ,2013,203,17,138,81,15,0,29
1054,תל שבע    ,2011,149,13,34,78,4,1,14
1054,תל שבע    ,2012,124,4,52,97,2,1,22
1054,תל שבע    ,2013,175,4,67,113,6,4,34
709,תפרח      ,2011,30,2,0,1,1,0,0
709,תפרח      ,2012,24,6,1,4,2,0,1
709,תפרח      ,2013,15,0,6,3,0,0,0