town_type,town_name_h,case,case_resolution,2005,2006,2007,2008,2009
jewish,אדנה,פרקליטות,,,,,1,
jewish,אור יהודה,פתוח,,,1,,,
jewish,,סגור,לא ידוע,,1,,,
jewish,אור עקיבא,פתוח,,1,2,,,
jewish,,פרקליטות,,1,,,,
jewish,,נידון,,,1,,,
jewish,אזור,נידון,,,1,,,
jewish,אילת,פתוח,,,,1,2,
jewish,,סגור,רשות שיפוט,,,1,,
jewish,,,לא ידוע,,,2,,
jewish,,נידון,,1,,,,
jewish,,פרקליטות,,,,1,,
jewish,אילת השחר,נידון,,,1,,,
jewish,אמן,נידון,,,,1,,
jewish,אפקים,פרקליטות,,,,,1,
jewish,ארז,סגור,לא ידוע,1,,,,
jewish,אריאל,פתוח,,,,,1,
jewish,אשדוד,פתוח,,1,1+ 1,1+ 1,4+ 1,
jewish,,סגור,"לא ידוע, על""ן",,,1,1,
jewish,,פרקליטות,,,1,1,1,
jewish,אשקלון,פתוח,,,,1,,
jewish,,סגור,"לא ידוע, לא ידוע, על""ן",1,1,,1,
jewish,,נידון,,1,1,,,
jewish,,פרקליטות,,,2,,2,
jewish,באר יעקב,פתוח,,,,,1,
jewish,,סגור,לא ידוע,,1,,,
jewish,באר שבע,פתוח,,2+ 1,,4,1,
jewish,,סגור,לא ידוע,,1,,,
jewish,,נידון,,2,,,,
jewish,,פרקליטות,,1,1,4,3,
jewish,,,,,,,,
jewish,בית גברין,פתוח,,1,,,,
jewish,,סגור,"על""ן",1,,,,
jewish,בית השטה,פתוח,,,,1,,
jewish,,סגור,לא ידוע,,,,1,
jewish,בית שמש,נידון,,,,1,,
jewish,,פרקליטות,,,2,,,
jewish,בני ברק,פתוח,,1,1,,,
jewish,,נידון,,1,1,,,
jewish,,פרקליטות,,,,,1,
jewish,בני ראם,פתוח,,1,,,,
jewish,בנימינה,פתוח,,,,,1,
jewish,בצרה,פתוח,,,,,,1
jewish,בצת,פרקליטות,,,,1,,
jewish,בקעות,נידון,,1,,,,
jewish,,פרקליטות,,,1,,,
jewish,בת ים,פתוח,,1,,2,1+ 1,
jewish,,סגור,"על""ן",,,,1,
jewish,,נידון,,3,2,,,
jewish,,פרקליטות,,,1,1,2,
jewish,גאולים,פתוח,,,,,1,
jewish,גאליה,נידון,,1,,,,
jewish,גבעת עז,פרקליטות,,,,,1,
jewish,גבעתים,פתוח,,,1,,,
jewish,גדות,נידון,,,,1,,
jewish,גדרה,סגור,לא ידוע,1,,,,
jewish,גמזו,סגור,חוסר ראיות,,1,,,
jewish,גנות,סגור,"על""ן",1,,,,
jewish,גני טל,סגור,לא ידוע,1,,,,
jewish,גניגר,סגור,לא ידוע,1,,,,
jewish,גני תקוה,פתוח,,,,1,,
jewish,גרנות גליל,פתוח,,,,1,,
jewish,דימונה,סגור,מות הנאשם,,1,,,
jewish,,נידון,,1,,,,
jewish,,פרקליטות,,,,,2,
jewish,הוד השרון,פתוח,,,,,1,
jewish,הרצליה,פתוח,,,,,1,
jewish,,סגור,לא ידוע,,,,1,
jewish,,נידון,,,1,1,,
jewish,,פרקליטות,,,,,1,
jewish,חגי,נידון,,1,,,,
jewish,,תביעה,,1,,,,
jewish,חדרה,פתוח,,2+ 1,,,,
jewish,,סגור,אין אשמה פלילית,,1,,,
jewish,,נידון,,3,1,,,
jewish,חולון,פתוח,,1,,1,,
jewish,,סגור,אין אשמה פלילית ,1,,,,
jewish,,,"על""ן",1,,,,
jewish,,,לא ידוע,,,1,,
jewish,,נידון,,1,,,,
jewish,,פרקליטות,,,1,2,1,
jewish,חמש,פרקליטות,,,1,,,
jewish,חצב,פתוח,,,1,,,
jewish,חצ הגלילית,סגור,"על""ן",1,,,,
jewish,,נידון,,1,,,,
jewish,טבריה,פתוח,,,,1,1,
jewish,,סגור,"לא ידוע, על""ן ",1,,1,,
jewish,,נידון,,,2,1,2,
jewish,טירת כרמל,סגור,לא ידוע,,1,,,
jewish,,נידון,,,1,,,
jewish,,פרקליטות,,,,,1,
jewish,יבנה,סגור,"על""ן",,2,,,
jewish,יצהר,סגור,לא ידוע,,,,1,
jewish,יציץ,פרקליטות,,,,,1,
jewish,יקיר,סגור,לא ידוע,,,,1,
jewish,ישע,סגור,"על""ן",,,,1,
jewish,יתד,פרקליטות,,,1,,,
jewish,כברי,פתוח,,,,1,,
jewish,כוכב,נידון,,,,1,,
jewish,כסופים,סגור,לא ידוע,2,,,,
jewish,כפר חסידים א,נידון,,1,,,,
jewish,כפר מונש,פתוח,,,,,1,
jewish,כפר סבא,פתוח,,1,,,,
jewish,,סגור,"על""ן",,,1,,
jewish,כפר תבור,פרקליטות,,,,1,,
jewish,כרם שלום,סגור,"על""ן",,1,,,
jewish,כרמיאל,נידון,,1,,,,
jewish,,פרקליטות,,,,1,,
jewish,לטם,סגור,מות הנאשם,1,,,,
jewish,מגדל העמק,נידון,,1,1,,,
jewish,,פרקליטות,,,1,,,
jewish,מגדלים,תביעה,,,1,,,
jewish,מורג,סגור,לא ידוע,1,,,,
jewish,מורן,נידון,,1,,,,
jewish,מירון,סגור,"על""ן",,1,,,
jewish,מעונה,סגור,"על""ן",,1,,,
jewish,מעש,נידון,,1,,,,
jewish,מצפה,פרקליטות,,,,,1,
jewish,מצפה רמון,פרקליטות,,,,,1,
jewish,מצפה שלם,פרקליטות,,,,1,,
jewish,מרכז שפירא,סגור,לא ידוע,,1,,,
jewish,נהריה,פתוח,,,,,1,
jewish,,סגור,"על""ן",,2,,,
jewish,,פרקליטות,,1,,1,1,
jewish,נוקדים,נידון,,1,,,,
jewish,נחל עוז,סגור,"לא ידוע, על""ן",1,,,1,
jewish,נירים,סגור,"על""ן",,,,1,
jewish,נען,פתוח,,,,1,,
jewish,נשר,פתוח,,,1,,,
jewish,נתיב העשרה,סגור,לא ידוע,1,,,,
jewish,נתיבות,סגור,חוסר ראיות,,,,1,
jewish,,פרקליטות,,,1,,1,
jewish,נתניה,פתוח,,1+ 1,2+ 1,1,1+ 2,1
jewish,,סגור,לא ידוע,,1,1,,
jewish,,נידון,,2,1,1,,
jewish,,פרקליטות,,,,1,1,
jewish,סער,סגור,"על""ן",,1,,,
jewish,עדן,סגור,אין אשמה פלילית,,1,,,
jewish,עמר,פרקליטות,,,,,1,
jewish,עזוז,סגור,"העברה לצה""ל",,,,,1
jewish,עין השלשה,סגור,"על""ן",,,,1,
jewish,עפולה,פרקליטות,,,1,,1,
jewish,ערד,פרקליטות,,,1,1,,
jewish,עתלית,פרקליטות,,,1,,,
jewish,פורת,פרקליטות,,,,,2,
jewish,פרדס חנה,נידון,,,1,1,,
jewish,פרי גן,פרקליטות,,,,1,,
jewish,פתח תקווה,פתוח,,,,,1,3
jewish,,נידון,,3,2,,,
jewish,,פרקליטות,,1,,2,3,
jewish,צפריה,פרקליטות,,1,,,,
jewish,צפת,פתוח,,,,1,1,
jewish,,סגור,"על""ן",,1,,,
jewish,קדומים,פרקליטות,,,,1,,
jewish,,תביעה,,,1,,,
jewish,קצרין,פרקליטות,,,1,,,
jewish,קרית ביאליק,פתוח,,,,,,1
jewish,,נידון,,1,,,,
jewish,קרית מוצקין,פתוח,,,1,,,1
jewish,,נידון,,1,1,,,
jewish,,פרקליטות,,,,,1,
jewish,קרית אתא,פתוח,,,2,,2,
jewish,,סגור,"על""ן",,2,,,
jewish,,נידון,,,2,1,,
jewish,קרית גת,פתוח,,,,,1,
jewish,,סגור,לא ידוע,,1,,,
jewish,קרית ים,פתוח,,,2,,,1
jewish,,נידון,,,,1,,
jewish,,פרקליטות,,,,,1,
jewish,קרית מלאכי,פתוח,,,,,1,
jewish,קרית עקרון,פרקליטות,,,1,,,
jewish,קרית שמונה,סגור,"על""ן",,,1,,
jewish,,פרקליטות,,,,2,1,
jewish,"ראשל""צ",פתוח,"על""ן",1,1,,1+ 1,
jewish,,סגור,,,1,,,
jewish,,נידון,,2,1,1,,
jewish,,פרקליטות,,1,,1,3,
jewish,רגבים,פתוח,,,,,,1
jewish,רחובות,סגור,"לא ידוע, מות הנאשם, לא ידוע",,1,2+ 1,,
jewish,,נידון,,1,,2,,
jewish,,פרקליטות,,,,1,1,
jewish,רמת גן,פתוח,,,,1,1,
jewish,,נידון,,1,1,,,
jewish,,פרקליטות,,,1,1,,
jewish,רמת הכובש,פתוח,,,,,,1
jewish,רמת השרון,פתוח,,,2,,,
jewish,,סגור,"על""ן",,1,,,
jewish,רפיח ים,סגור,לא ידוע,1,,,,
jewish,שדרות,סגור,"על""ן",1,2,2,1,
jewish,שילה,נידון,,1,,,,
jewish,שלומי,פרקליטות,,,1,,,
jewish,תלם,פתוח,,,,,1,
arab,אבו גוש,נידון,,,,1,,
arab,,פרקליטות,,,,,1,
arab,אכסאל,פתוח,,,,,1,
arab,אם אל-פחם,פתוח,,1,,,2,
arab,,סגור,"על""ן",2,,,,
arab,,נידון,,,,,1,
arab,,פרקליטות,,,,,2,
arab,אום אל-קטוף,נידון,,1,,,,
arab,אעבלין,פרקליטות,,1,,,,
arab,אעצם,פרקליטות,,,2,,,
arab,באקה,פתוח,,,,,1,
arab,,סגור,,,1,,,
arab,באקה א שרק,תביעה,,1,,,,
arab,באקה גרביה,פתוח,,,,,1,3
arab,ביר מכסור,פתוח,,,1,,,
arab,ביר נבאלא,סגור,לא ידוע,,1,,,
arab,בית גן,פתוח,,,1,,,
arab,,נידון,,1,,,,
arab,בית כאחל,פרקליטות,,,,1,,
arab,ביתוניא,תביעה,,1,,,,
arab,בלאטה,פרקליטות,,,,1,,
arab,,תביעה,,,,1,,
arab,בני נעים,תביעה,,,1,,,
arab,בסמת טבעון,פתוח,,,,,1,
arab,,פרקליטות,,,,,1,
arab,ג'דידה-מכר,פתוח,,,,,1,
arab,ג'לג'וליה,פתוח,,,,,1,
arab,,נידון,,,1,,,
arab,ג'נין,פרקליטות,,,,,1,
arab,גסר א-זרקא,נידון,,2,3,,,
arab,דאלית אל-כרמל,נידון,,1,1,,,
arab,דבוריה,פרקליטות,,,,,1,
arab,דומא,סגור,"על""ן",,1,,,
arab,דיר אל-אסד,פתוח,,1,,,,
arab,חוארה,סגור,לא ידוע,,1,,,
arab,,נידון,,,,,1,
arab,,תביעה,,,1,,,
arab,חורה,פתוח,,,1,,,
arab,,פרקליטות,,,,1,1,
arab,חרבת ערוב,תביעה,,,,1,,
arab,טובא זנגרייה,פרקליטות,,,,1,1,
arab,טול כרם,פתוח,,,,,1,
arab,,נידון,,,,1,,
arab,טיבה,פתוח,,,2+ 1,2+ 1,1,2
arab,,סגור,"על""ן ???",1+ 5,2+ 1,,1,
arab,,פרקליטות,,1,1,2,1,
arab,טירה,פתוח,,,,1,1+ 2,1
arab,,סגור,"על""ן ???",,1,1,,
arab,,נידון,,,1,1,1,
arab,,תביעה,,,,,1,
arab,טמרה,פתוח,,,,,1,
arab,,נידון,,,1,,,
arab,יאמון,תביעה,,1,,,,
arab,יעבד,נידון,,,1,,,
arab,יפיע,פתוח,,1,,,,
arab,,פרקליטות,,,1,,,
arab,כפר ברא,פתוח,,,,,,1
arab,כפר יאסיף,נידון,,,,2,,
arab,כפר מנדא,נידון,,1,,,,
arab,כפר קאסם,פתוח,,,2+ 1,2,,
arab,,פרקליטות,,,1,,1,
arab,כפר קרע,פתוח,,,1,,2,1
arab,,פרקליטות,,1,,,,
arab,כפר ראעי,נידון,,,1,,,
arab,לקיה,נידון,,1,,,,
arab,,פרקליטות,,,1,,,
arab,מגאר,סגור,"על""ן",,2,,,
arab,,פרקליטות,,,1,,,
arab,,,,,,,,
arab,מג'דל כרום,סגור,"על""ן",,2,,,
arab,,פרקליטות,,,1,1,2,
arab,משהד,פרקליטות,,,,,1,
arab,נוא א שמס,סגור,לא ידוע,,1,,,
arab,נחף,פתוח,,,,,1,
arab,נצרת,פתוח,,,1,,1+ 1,
arab,,סגור,"על""ן, לא ידוע",1,1+ 1,,,
arab,,נידון,,4,1,1,,
arab,,פרקליטות,,,1,,,
arab,סאלם,נידון,,,2,,,
arab,,תביעה,,,1,,,
arab,סילת א דהר,נידון,,,1,,,
arab,עוצרין,פרקליטות,,1,,,,
arab,עזון,סגור,לא ידוע,1,,,,
arab,עילבון,פרקליטות,,,,,1,
arab,עין עריכ,תביעה,,1,,,,
arab,עלאר,תביעה,,1,,,,
arab,ענאתא,פרקליטות,,,1,,,
arab,עראבה,נידון,,1,,,,
arab,עראמשה,סגור,"על""ן",,1,,,
arab,ערערה,פתוח,,,1,2,,
arab,,פרקליטות,,,,1,,
arab,ערערה בנגב,פרקליטות ,,,1,,,
arab,עתיל,פרקליטות,,,,,1,
arab,פרדיס,נידון,,1,,,,
arab,,פרקליטות,,,,1,,
arab,פרעון,נידון,,2,,,,
arab,קבאטיה,תביעה,,,,1,,
arab,קלנסוה,פתוח,,,,,2,
arab,,סגור,"על""ן",,1,,,
arab,קלקיליה,סגור,???,,1,,,
arab,קראות זיד,נידון,,1,,,,
arab,ראמאללה,סגור,,,1,,,
arab,,פרקליטות,,,1,1,,
arab,ראמה,פתוח,,,1,3,1,1
arab,,סגור,???,,,1,,
arab,,נידון,,,1,,,
arab,,פרקליטות,,,1,,,
arab,רהט,פתוח,,,1,,,
arab,,סגור,"על""ן ???",1+ 1,,,,
arab,,פרקליטות,,1,1,,1,
arab,רמאנה,פרקליטות,,1,,,,
arab,שבלי-אום אל-גנם,פרקליטות,,,,,1,
arab,שכם,פרקליטות,,,,1,2,
arab,שפרעם,פתוח,,1,,1,,
arab,,נידון,,1,1,,,
arab,,פרקליטות,,1,,,,
arab,תל שבע,פתוח,,,,,1,
arab,,פרקליטות,,,1,,1,
mixed,חברון,פתוח,,,,,1,
mixed,,,,,,,,
mixed,"חו""ל",פתוח,,1,1,,1,
mixed,,נידון,,1,,,,
mixed,חיפה,פתוח,,3,3+ 5,1+ 1,1+ 3,2
mixed,,סגור,"על""ן",,5,,,
mixed,,נידון,,11,4,1,1,
mixed,,פרקליטות,,2,,1,1,
mixed,יערה,סגור,"על""ן",,1,,,
mixed,ירושלים,פתוח,,4,1,1,2+ 2,4
mixed,,סגור,???,2,1,1,,
mixed,,נידון,,3,6,3,,
mixed,,פרקליטות,,2,,3,10,
mixed,לוד,פתוח,,1,,2+ 1,1,2
mixed,,סגור,???,1,1,,,
mixed,,נידון,,,3,,,
mixed,,פרקליטות,,,,1,,
mixed,נצרת עילית,פתוח,,,1,1,,
mixed,,נידון,,1,,1,,
mixed,עכו,פתוח,,,,,,3
mixed,,סגור,"על""ן",1,1,,,
mixed,,נידון,,,2,,,
mixed,,פרקליטות,,,,,1,
mixed,רמלה,פתוח,,1,2,1,1+ 2,1
mixed,,סגור,"על""ן ???",1+ 1,1,1,,
mixed,,נידון,,1,2,1,1,
mixed,,פרקליטות,,1,,,,
mixed,"ת""א-יפו",פתוח,,1+ 4,4,2+ 2,4+ 6,4
mixed,,סגור,אין אשמה פלילית,1,,2,,
mixed,,,חוסר ראיות,1,,,,
mixed,,,"על""ן",1,,,,
mixed,,סגור,???,5,3,1,1,
mixed,,נידון,,9,5,5,2,
mixed,,פרקליטות,,2,3,5,6,
mixed,,תביעה,,,,,1,