town,region,year,assaults,total
AFULA,North,2011,329,53229
AKKO,North,2011,401,55788
ASHDOD,South,2011,1171,251343
ASHQELON,South,2011,724,151373
BAT YAM,GushDan,2011,858,158421
BE'ER SHEVA,South,2011,1534,219798
BENE BERAQ,GushDan,2011,433,202278
BET SHEMESH,East,2011,420,123139
BETAR ILLIT,East,2011,84,58215
ELAT,South,2011,639,66180
GIV'ATAYIM,GushDan,2011,128,62312
HADERA,North,2011,559,101721
HAIFA,North,2011,2357,320469
HERZELIYYA,GushDan,2011,328,105608
HOD HASHARON,GushDan,2011,188,63460
HOLON,GushDan,2011,835,210555
JERUSALEM,East,2011,4583,975789
KARMI'EL,North,2011,253,53618
KEFAR SAVA,GushDan,2011,372,108886
LOD,East,2011,566,81068
MA'ALE ADUMMIM,East,2011,173,41047
MODI'IN ILLIT,East,2011,70,72189
MODI'IN-MAKKABBIM-RE,East,2011,197,93447
NAHARIYYA,North,2011,353,65254
NAZARETH,North,2011,409,81510
NAZERAT ILLIT,North,2011,339,50273
NES ZIYYONA,GushDan,2011,119,48583
NETANYA,GushDan,2011,1269,244243
PARDES HANNA-KARKUR,North,2011,187,43026
PETAH TIQWA,GushDan,2011,1013,264093
QIRYAT ATTA,North,2011,331,62573
QIRYAT BIALIK,North,2011,258,44261
QIRYAT GAT,South,2011,319,59050
QIRYAT MOTZKIN,North,2011,211,47497
QIRYAT YAM,North,2011,231,45669
RA'ANANA,GushDan,2011,245,87131
RAHAT,South,2011,209,63371
RAMAT GAN,GushDan,2011,558,164043
RAMAT HASHARON,GushDan,2011,116,50541
RAMLA,East,2011,595,80561
REHOVOT,GushDan,2011,457,149439
RISHON LEZIYYON,GushDan,2011,1112,267116
ROSH HAAYIN,GushDan,2011,178,52940
SHEFAR'AM,North,2011,228,41089
TAYIBE,North,2011,203,43349
TEL AVIV - YAFO,GushDan,2011,3418,533986
TIBERIAS,North,2011,405,48353
UMM AL-FAHM,North,2011,121,55110
YAVNE,GushDan,2011,157,47756