town_number,town
967,ABU JUWEI'ID             
472,ABU GHOSH                
473,ABU SINAN                
935,ABU SUREIHAN             
958,ABU  ABDUN               
1042,ABU  AMMAR               
932,ABU  AMRE                
968,ABU QUREINAT             
1342,ABU QUREINAT             
966,ABU RUBEI'A              
961,ABU RUQAYYEQ             
1375,ABU TULUL                
652,IBTIN                    
1275,AVTALYON                 
679,AVI'EL                   
1115,AVIVIM                   
819,AVIGEDOR                 
175,AVIHAYIL                 
2052,AVITAL                   
1070,AVI'EZER                 
1220,ABBIRIM                  
182,EVEN YEHUDA              
1081,EVEN MENAHEM             
783,EVEN SAPPIR              
400,EVEN SHEMU'EL            
4011,AVNE ETAN                
3793,AVNE HEFEZ               
3786,AVENAT                   
1311,AVSHALOM                 
3759,ADORA                    
113,ADDIRIM                  
1068,ADAMIT                   
1123,ADDERET                  
446,UDIM                     
4010,ODEM                     
1046,OHAD                     
2710,UMM AL-FAHM              
2024,UMM AL-QUTUF             
1358,                         
1108,OMEN                     
680,OMEZ                     
31,OFAQIM                   
1294,OR HAGANUZ               
67,OR HANER                 
2400,OR YEHUDA                
1020,OR AQIVA                 
780,ORA                      
2012,OROT                     
4013,ORTAL                    
403,URIM                     
882,ORANIM                   
3760,ORANIT                   
278,USHA                     
565,AZOR                     
1157,AHAWA                    
821,AHUZZAM                  
1330,                         
785,AHIHUD                   
850,AHITUV                   
804,AHISAMAKH                
797,AHI'EZER                 
965,ATRASH                   
338,IBBIM                    
716,EYAL                     
77,AYYELET HASHAHAR         
294,ELON                     
1126,ELOT                     
49,ILANIYYA                 
2600,ELAT                     
1336,IRUS                     
3762,ITAMAR                   
37,ETAN                     
886,ETANIM                   
478,IKSAL                    
1359,                         
1339,                         
1316,AL-ARYAN                 
4003,EL-ROM                   
1145,ALUMMA                   
330,ALUMMOT                  
1182,ALLON HAGALIL            
3579,ELON MORE                
3604,ALLON SHEVUT             
429,ALLONE ABBA              
4017,ALLONE HABASHAN          
868,ALLONE YIZHAQ            
285,ALLONIM                  
4002,ELI AL                   
1365,ELIAV                    
41,ELYAKHIN                 
1248,ELIFAZ                   
730,ELIFELET                 
682,ELYAQIM                  
204,ELYASHIV                 
841,ELISHAMA                 
1125,ALMAGOR                  
3556,ALMOG                    
1309,                         
3618,EL'AZAR                  
3750,ALFE MENASHE             
603,ELQOSH                   
3560,ELQANA                   
772,EMUNIM                   
1064,AMIRIM                   
1253,AMNUN                    
23,AMAZYA                   
4012,ANI'AM                   
960,ASAD                     
3754,ASEFAR                   
529,I'BILLIN                 
963,A'SAM                    
959,AFEINISH                 
4301,AFIQ                     
176,AFIQIM                   
313,AFEQ                     
3650,EFRAT                    
701,ARBEL                    
3598,ARGAMAN                  
714,EREZ                     
3570,ARI'EL                   
1324,ARSUF                    
71,ESHBOL                   
1276,NAHAL ESHBAL             
70,ASHDOD                   
199,ASHDOT YA'AQOV(IHUD)     
188,ASHDOT YA'AQOV(ME'UH     
1188,ESHHAR                   
3722,ESHKOLOT                 
2021,ESHEL HANASI             
1152,ASHALIM                  
7100,ASHQELON                 
1256,ASHERAT                  
740,ESHTA'OL                 
1298,ETGAR                    
6000,                         
21,BE'ER ORA                
1376,BEER GANNIM              
155,BE'ER TUVEYA             
2530,BE'ER YA'AQOV            
1278,                         
9000,BE'ER SHEVA              
450,BE'EROT YIZHAQ           
697,BE'EROTAYIM              
399,BE'ERI                   
559,BUSTAN HAGALIL           
482,BU'EINE-NUJEIDAT         
4001,BUQ'ATA                  
698,BURGETA                  
2043,BAHAN                    
762,BITHA                    
234,BIZZARON                 
998,BIR EL-MAKSUR            
1348,                         
368,BIRIYYA                  
317,BET OREN                 
3574,BET EL                   
562,BET EL'AZARI             
95,BET ALFA                 
3652,BET ARYE                 
1076,BET BERL                 
480,BEIT JANN                
619,BET GUVRIN               
571,BET GAMLI'EL             
466,BET DAGAN                
723,BET HAGADDI              
373,BET HALEVI               
322,BET HILLEL               
572,BET HAEMEQ               
3645,BET HAARAVA              
242,BET HASHITTA             
353,BET ZEID                 
710,BET ZAYIT                
143,BET ZERA                 
3575,BET HORON                
877,BET HERUT                
2033,BET HILQIYYA             
159,BET HANAN                
800,BET HANANYA              
1050,BET HASHMONAY            
288,BET YEHOSHUA             
265,BET YOSEF                
200,BET YANNAY               
326,BET YIZHAQ-SH. HEFER     
430,BET LEHEM HAGELILIT      
751,BET ME'IR                
784,BET NEHEMYA              
16,BET NIR                  
672,BET NEQOFA               
202,BET OVED                 
301,BET UZZI'EL              
756,BET EZRA                 
604,BET ARIF                 
212,BET ZEVI                 
598,BET QAMA                 
365,BET QESHET               
848,BET RABBAN               
1162,BET RIMMON               
9200,BET SHE'AN               
2610,BET SHEMESH              
248,BET SHE'ARIM             
747,BET SHIQMA               
252,BITAN AHARON             
3780,BETAR ILLIT              
94,BALFURIYYA               
760,BEN ZAKKAY               
712,BEN AMMI                 
1084,BEN SHEMEN(K.NO'AR)      
2013,BEN SHEMEN (MOSHAV)      
6100,BENE BERAQ               
1368,BNE DKALIM               
592,BENE DAROM               
386,BENE DEROR               
4015,BENE YEHUDA              
1363,BENE NEZARIM             
448,BENE ATAROT              
1066,BENE AYISH               
418,BENE ZIYYON              
588,BENE RE'EM               
685,BENAYA                   
9800,BINYAMINA                
1326,BASMA                    
944,BASMAT TAB'UN            
483,BI NE                    
389,BAZRA                    
589,BEZET                    
864,BEQOA                    
3612,BEQA'OT                  
823,BAR GIYYORA              
1191,BAR YOHAY                
3744,BRUKHIN                  
428,BEROR HAYIL              
2060,BEROSH                   
3710,BERAKHA                  
746,BEREKHYA                 
667,BAR'AM                   
141,BARAQ                    
617,BARQAY                   
3654,BARQAN                   
2038,BAREQET                  
1323,BAT HADAR                
1361,BAT HEN                  
1319,BAT HEFER                
1401,BAT HAZOR                
6200,BAT YAM                  
3794,BAT AYIN                 
33,BAT SHELOMO              
1292,JUDEIDE-MAKER            
485,JULIS                    
627,JALJULYE                 
976,JUNNABIB                 
541,JISR AZ-ZARQA            
487,JISH(GUSH HALAV)         
628,JAAT                     
872,GE'ULE TEMAN             
379,GE'ULIM                  
853,GE'ALYA                  
352,GEVULOT                  
424,GEVIM                    
86,GEVA                     
3763,GEVA BINYAMIN            
683,GEVA  KARMEL             
2014,GIV'OLIM                 
3644,GIV'ON HAHADASHA         
1344,                         
1293,GIV'AT AVNI              
1288,GIV'AT ELA               
147,GIV'AT BRENNER           
870,GIV'AT HASHELOSHA        
3730,GIV'AT ZE'EV             
207,GIV'AT HEN               
2018,GIV'AT HAYYIM (IHUD)     
173,GIV'AT HAYYIM(ME'UHA     
4021,GIV'AT YO'AV             
787,GIV'AT YE'ARIM           
919,GIV'AT YESHA'YAHU        
802,GIV'AT KOAH              
360,GIV'AT NILI              
703,GIV'AT OZ                
681,GIV'AT SHEMU'EL          
566,GIV'AT SHEMESH           
1077,GIV'AT SHAPPIRA          
793,GIV'ATI                  
6300,GIV'ATAYIM               
342,GEVAR'AM                 
133,GEVAT                    
35,GADOT                    
145,GADISH                   
442,GID'ONA                  
2550,GEDERA                   
852,GONEN                    
755,GOREN                    
1219,GORNOT HAGALIL           
457,GAZIT                    
370,GEZER                    
706,GE'A                     
196,GIBBETON                 
1043,GIZO                     
1204,GILON                    
736,GILAT                    
262,GINNOSAR                 
92,GINNEGAR                 
863,GINNATON                 
1206,GITTA                    
3613,GITTIT                   
393,GAL'ON                   
3606,GILGAL                   
346,GELIL YAM                
369,EVEN YIZHAQ(GAL'ED)      
745,GIMZO                    
1072,GAN HADAROM              
225,GAN HASHOMERON           
239,GAN HAYYIM               
734,GAN YOSHIYYA             
166,GAN YAVNE                
1274,GAN NER                  
311,GAN SOREQ                
144,GAN SHELOMO              
72,GAN SHEMU'EL             
836,GANNOT                   
549,GANNOT HADAR             
1103,GANNE HADAR              
1371,                         
862,GANNE YOHANAN            
3823,GANNE MODIIN             
218,GANNE AM                 
229,GANNE TIQWA              
842,GA'ASH                   
463,GA'TON                   
39,GEFEN                    
1129,GEROFIT                  
4022,GESHUR                   
305,GESHER                   
574,GESHER HAZIW             
340,GAT(QIBBUZ)              
128,GAT RIMMON               
494,DALIYAT AL-KARMEL        
146,DEVORA                   
489,DABBURYE                 
849,DEVIRA                   
407,DAVERAT                  
62,DEGANYA ALEF             
79,DEGANYA BET              
1067,DOVEV                    
3747,DOLEV                    
738,DOR                      
336,DOROT                    
475,DAHI                     
490,DEIR AL-ASAD             
492,DEIR HANNA               
493,DEIR RAFAT               
2200,DIMONA                   
2063,DISHON                   
300,DALIYYA                  
431,DALTON                   
1317,DEMEIDE                  
303,DAN                      
302,DAFNA                    
1241,DEQEL                    
1349,                         
702,HAON                     
675,HABONIM                  
356,HAGOSHERIM               
191,HADAR AM                 
9700,HOD HASHARON             
726,HODIYYA                  
1322,HODAYOT                  
1169,HAWASHLA                 
956,HUZAYYEL                 
1186,HOSHA'AYA                
250,HAZOREA                  
307,HAZORE'IM                
434,HAHOTERIM                
684,HAYOGEV                  
1208,HILLA                    
377,HAMA'PIL                 
677,HASOLELIM                
423,HAOGEN                   
3769,HAR ADAR                 
3603,HAR GILLO                
1261,HAR AMASA                
464,HAR'EL                   
1249,HARDUF                   
6400,HERZELIYYA               
1203,HARARIT                  
3639,WERED YERIHO             
1133,WARDON                   
2742,ZABARGA                  
815,ZAVDI'EL                 
44,ZOHAR                    
584,ZIQIM                    
788,ZETAN                    
9300,ZIKHRON YA'AQOV          
799,ZEKHARYA                 
1290,ZEMER                    
1065,ZIMRAT                   
816,ZANOAH                   
2064,ZERU'A                   
975,ZARZIR                   
818,ZERAHYA                  
1321,                         
986,KHAWALED                 
235,HAVAZZELET HASHARON      
1110,HEVER                    
3400,                         
717,HAGOR                    
3764,HAGGAI                   
205,HOGLA                    
4026,HAD-NES                  
618,HADID                    
6500,HADERA                   
948,HUJEIRAT (DAHRA)         
160,HULDA                    
6600,HOLON                    
1239,HOLIT                    
253,HULATA                   
662,HOSEN                    
1332,HUSSNIYYA                
115,HOFIT                    
374,HUQOQ                    
1303,HURA                     
496,HURFEISH                 
355,HORESHIM                 
1047,HAZON                    
219,HIBBAT ZIYYON            
3643,HINNANIT                 
4000,HAIFA                    
162,HERUT                    
1272,HALUZ                    
3573,HALLAMISH                
820,HELEZ                    
993,HAMAM                    
801,HEMED                    
343,HAMADYA                  
3646,NAHAL HEMDAT             
3609,HAMRA                    
807,HANNI'EL                 
280,HANITA                   
1257,HANNATON                 
4005,HASPIN                   
363,HAFEZ HAYYIM             
90,HEFZI-BAH                
700,HAZAV                    
13,HAZEVA                   
2034,HAZOR HAGELILIT          
406,HAZOR-ASHDOD             
1409,HAZAR BE'EROTAYIM        
1402,HAZROT HULDA             
1404,HAZROT YASAF             
1405,HAZROT KOAH              
397,HAZERIM                  
422,HEREV LE'ET              
1024,HARUZIM                  
1247,HARISH                   
3717,HERMESH                  
1209,HARASHIM                 
3770,HASHMONA'IM              
6700,TIBERIAS                 
962,TUBA-ZANGARIYYE          
498,TUR'AN                   
2730,TAYIBE                   
497,TAYIBE(BAEMEQ)           
2720,TIRE                     
663,TIRAT YEHUDA             
2100,TIRAT KARMEL             
268,TIRAT ZEVI               
462,TAL SHAHAR               
1181,TAL-EL                   
1177,TELALIM                  
3788,TALMON                   
8900,TAMRA                    
547,TAMRA (YIZRE'EL)         
3743,TENE                     
1214,TEFAHOT                  
1295,YANUH-JAT                
1232,YEVUL                    
46,YAVNE'EL                 
2660,YAVNE                    
96,YAGUR                    
798,YAGEL                    
577,YAD BINYAMIN             
1134,YAD HASHEMONA            
758,YAD HANNA                
358,YAD MORDEKHAY            
775,YAD NATAN                
64,YAD RAMBAM               
1144,YEDIDA                   
9400,YEHUD-MONOSON            
1158,YAHEL                    
2009,YUVAL                    
1226,YUVALIM                  
1112,YODEFAT                  
4007,YONATAN                  
803,YOSHIVYA                 
452,YIZRE'EL                 
409,YEHI'AM                  
866,YOTVATA                  
3607,YITAV                    
811,YAKHINI                  
753,YANUV                    
2011,YINNON                   
29,YESUD HAMA'ALA           
440,YESODOT                  
575,YAS'UR                   
1138,YA'AD                    
1117,YA'EL                    
1044,YE'AF                    
795,YA'ARA                   
499,YAFI                     
3566,YAFIT                    
134,YIF'AT                   
453,YIFTAH                   
3749,YIZHAR                   
759,YAZIZ                    
417,YAQUM                    
3647,YAQIR                    
241,YOQNE'AM(MOSHAVA)        
240,YOQNE'AM ILLIT           
623,YIR'ON                   
2026,YARDENA                  
831,YEROHAM                  
3000,JERUSALEM                
718,YARHIV                   
502,YIRKA                    
183,YARQONA                  
916,YESHA                    
805,YISH'I                   
828,YASHRESH                 
1227,YATED                    
1329,                         
504,KABUL                    
505,KAOKAB ABU AL-HIJA       
576,KABRI                    
371,KADOORIE                 
1338,                         
3564,KOKHAV HASHAHAR          
1224,KOKHAV YA'IR             
3779,KOKHAV YA'AQOV           
824,KOKHAV MIKHA'EL          
1252,KORAZIM                  
1210,KAHAL                    
1367,                         
840,KISSUFIM                 
1153,KISHOR                   
1183,KELIL                    
1229,KALLANIT                 
1331,                         
1291,KEMEHIN                  
1201,KAMMON                   
2006,KANNOT                   
4028,KANAF                    
63,KINNERET(MOSHAVA)        
57,KINNERET(QEVUZA)         
1059,KUSEIFE                  
859,KESALON                  
1296,KISRA-SUMEI              
978,KA'ABIYYE-TABBASH-HA     
857,KEFAR AVIV               
3638,KEFAR ADUMMIM            
364,KEFAR URIYYA             
690,KEFAR AHIM               
220,KEFAR BIALIK             
177,KEFAR BILU               
357,KEFAR BLUM               
2010,KEFAR BIN NUN            
633,KAFAR BARA               
132,KEFAR BARUKH             
106,KEFAR GID'ON             
427,KEFAR GALLIM             
310,KEFAR GLIKSON            
76,KEFAR GIL'ADI            
707,KEFAR DANIYYEL           
3796,KEFAR HAORANIM           
192,KEFAR HAHORESH           
254,KEFAR HAMAKKABI          
582,KEFAR HANAGID            
890,KEFAR HANO'AR HADATI     
443,KEFAR HANASI             
187,KEFAR HESS               
217,KEFAR HARO'E             
888,KEFAR HARIF              
190,KEFAR VITKIN             
320,KEFAR WARBURG            
1263,KEFAR WERADIM            
1325,KEFAR ZOHARIM            
786,KEFAR ZETIM              
696,KEFAR HABAD              
609,KEFAR HOSHEN             
255,KEFAR HITTIM             
193,KEFAR HAYYIM             
1297,KEFAR HANANYA            
112,KEFAR HASIDIM ALEF       
889,KEFAR HASIDIM BET        
4004,KEFAR HARUV              
673,KEFAR TRUMAN             
507,KAFAR YASIF              
233,YEDIDYA                  
140,KEFAR YEHOSHUA           
168,KEFAR YONA               
85,KEFAR YEHEZQEL           
170,KEFAR YA'BEZ             
508,KAFAR KAMA               
509,KAFAR KANNA              
387,KEFAR MONASH             
1095,KEFAR MAYMON             
98,KEFAR MALAL              
510,KAFAR MANDA              
274,KEFAR MENAHEM            
297,KEFAR MASARYK            
512,KAFAR MISR               
764,KEFAR MORDEKHAY          
316,KEFAR NETTER             
345,KEFAR SZOLD              
6900,KEFAR SAVA               
107,KEFAR SILVER             
249,KEFAR SIRKIN             
875,KEFAR AVODA              
845,KEFAR AZZA               
3488,KEFAR EZYON              
189,KEFAR PINES              
634,KAFAR QASEM              
388,KEFAR KISH               
654,KAFAR QARA               
579,KEFAR ROSH HANIQRA       
1130,KEFAR ROZENWALD(ZAR.     
295,KEFAR RUPPIN             
1166,KEFAR RUT                
605,KEFAR SHAMMAY            
743,KEFAR SHEMU'EL           
267,KEFAR SHEMARYAHU         
47,KEFAR TAVOR              
3572,KEFAR TAPPUAH            
38,KARE DESHE               
1285,KARKOM                   
664,KEREM BEN ZIMRA          
88,KEREM BEN SHEMEN         
1094,KEREM YAVNE(YESHIVA)     
